English Language Name	Alternate Language Name	ISO code	ROD code	Variant code	URL	Country(ies)	NT PDF count	NT Audio count	NT Partial PDF count	NT Partial Audio count	NT PDF Whole count	NT Audio Whole count	OT PDF count	OT Audio count	OT Partial PDF count	OT Partial Audio count	OT PDF Whole count	OT Audio Whole count	Bible PDF count	Bible Audio count	Scriture App Builder HTML (SE)	Online Viewer (SE)	Google Play (Android app) (SE)	Android App (SE version)	Buy	BibleIs	YouVersion	GRN	eBible	GoBible (SE)	MySword (Android) (SE)	Playlist Audio (SE)	Jesus Film	Luke Vidoe	John Video	Acts Video	Genesis Video	God's Story Video	The Good Samaritan Video	Magdalena Video	John Animation Video (SE)	Scripture Animation Video (SE)	The Last Day Video	Story of Jesus for Children Video	History	5fish	iTunes	One Story	Bibles for India	Bibles for Russia	Maps	
Rajbangsi, India	Rajbanshi, Anchalit Bangla, Bahe Bangla, Kamta, Polia, Rangpuri, Anchalit Bangla, Bahe Bangla, Kamta, Polia, Kamtapuri, Koch Rajbanshi, Rajbangsi, Rajbansi, Rajbongshi	rkt			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=rkt	Bangladesh, India			unknown						unknown						1					 - Indian Evangelical Mission: https://live.bible.is/bible/RJSIEM/MAT/1?audio_type=audio_drama		https://www.globalrecordings.net/en/language/rkt					https://www.scriptureearth.org/data/rkt/video/JESUSFilm-rkt.txt																		language map: https://joshuaproject.net/languages/rkt	
Rajbanshi, Nepal	Central Rajbanshi, Eastern Rajbanshi, Western Rajbanshi, Rajbanshi, Gangai, Koch, Koche, Rajbangsi, Rajbansi, Tajpuria	rjs			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=rjs	Nepal			unknown						unknown						1					https://live.bible.is/bible/RJSMTS/Mat/1		https://www.globalrecordings.net/en/language/rjs					https://www.scriptureearth.org/data/rjs/video/JESUSFilm-rjs.txt																		language map: https://joshuaproject.net/languages/rjs	
Rakhine	Sitwe, Mogh, Rakhain, Rakkhaine, Chaungtha, Kyaukphyu, Man Aung, Mrauk-U, Sittwe, Yangbye, Akyab, Chebuda Island, Rambree, Yanbe, Yanbye, Yangye, Arakanese, Moghi, Rakhaing	rki			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=rki	Bangladesh, Myanmar															1																															
Ramo	Warapu	wra	21170		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=wra&ROD_Code=21170	Papua New Guinea		12		12											1		https://play.google.com/store/apps/details?id=org.wycliffe.wrar.ramo.bible					https://globalrecordings.net/en/language/21170				Music of Ramo																			language map: https://joshuaproject.net/languages/wra	
Ramoaaina	Duke of York, Ramuaina, Aalawa, Makada, Molot, Aalawaa, Alawa, Main Island, Mioko, South Islands, Ulu, Ramuaina	rai			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=rai	Papua New Guinea	27				1				unknown						1	1	https://play.google.com/store/apps/details?id=org.wycliffe.rai.ramoaaina.nt		New Testament: https://virtualstorehouse.org/products/ramoaaina-nt-rai-910	https://live.bible.is/bible/RAITBL/Mat/1	https://www.bible.com/bible/1186/MAT.1	https://globalrecordings.net/en/langcode/rai	1	https://www.scriptureearth.org/data/rai/study/RamoaainaNT.jar	https://www.scriptureearth.org/data/rai/study/rai.bbl.mybible			https://www.scriptureearth.org/data/rai/video/LukeVideo-rai.txt																	language map: https://joshuaproject.net/languages/rai	
Rampi	Rato, Lambu, Ha'uwa, Leboni, Rampi-Leboni	lje			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=lje	Indonesia															1					 - 2017 Lembaga Alkitab Indonesia: https://live.bible.is/bible/LJELAI/MAT/1?audio_type=audio_drama																									language map: https://joshuaproject.net/languages/lje	
Rana Tharu	राना थारू, Rana Thakur, Tharu, Tharuwa, Tharu, Rana, Rana Thakur, Tharu, Tharuwa	thr			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=thr	India, Nepal															1		https://play.google.com/store/apps/details?id=org.ips.thrbible.ranatharu					https://globalrecordings.net/en/language/4104					https://www.scriptureearth.org/data/thr/video/JESUSFilm-thr.txt																http://www.freebiblesindia.in/bible/thr ## http://www.biblesindia.com		language map: https://joshuaproject.net/languages/thr	
Ranglong	Langlo, Langlong, Langlu, Langrong, Lengreng, Riam chong, Ronglong	rnl			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=rnl	India															1					 - Ranglong 2002 Edition: https://live.bible.is/bible/RNLBIV/	Dankit Athar Le SAM - BSI (RANGLONG-BSI): https://www.bible.com/en-GB/bible/1871/MAT.1	https://www.globalrecordings.net/en/language/rnl																							language map: https://joshuaproject.net/languages/rnl	
Rao	Li'o, Ndramini'o, Annaberg, Rao Breri	rao			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=rao	Papua New Guinea															1																														language map: https://joshuaproject.net/languages/rao	
Rapa Nui	Easter Island, Pascuense, Pascuense, Rapanui	rap			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=rap	Chile															1		https://play.google.com/store/apps/details?id=org.wycliffe.rap.rapanui.bible			https://live.bible.is/bible/RAPWBT/Mat/1	https://my.bible.com/bible/2164/MAT.1	https://www.globalrecordings.net/en/language/rap			https://www.scriptureearth.org/data/rap/study/rap.bbl.mybible			https://www.scriptureearth.org/data/rap/video/LukeVideo-rap.txt								https://www.scriptureearth.org/data/rap/video/rap-JohnAnim.txt ## https://www.scriptureearth.org/data/rap/video/rap-ScrAnim.txt ## https://www.scriptureearth.org/data/rap/video/rap-JohnAnim-640.txt ## https://www.scriptureearth.org/data/rap/video/rap-ScrAnim-640.txt									languages of Chile: http://g.co/maps/mdx3v	
Rarotongan	Aitutaki, Atiu, Mangaia, Mauke, Mitiaro, Rarotonga, Cook Islands Maori, Cook Island, Kuki Airani, Māori Kūki 'Āirani, Maori, Te Reo Maori	rar			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=rar	Cook Islands															1						Bibilia Tapu (CIMB): https://www.bible.com/bible/1847/MAT.1	https://www.globalrecordings.net/en/language/rar					https://www.scriptureearth.org/data/rar/video/JESUSFilm-rar.txt																		language map: https://joshuaproject.net/languages/rar	
Rathawi	Bal-La, Kohelia, Rathwi	rtw			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=rtw	India															1							https://www.globalrecordings.net/en/language/rtw																							language map: https://joshuaproject.net/languages/rtw	
Ravula	Adiya, Pani Yerava, Panjiri Yerava, Adiyan, Iryavula, Yerava, Yoruba	yea			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=yea	India															1					https://live.bible.is/bible/YEANLC/MAT/1 ##  - New Life Computer Institute: https://live.bible.is/bible/YEANLC/MAT/1?audio_type=audio_drama																									language map: https://joshuaproject.net/languages/yea	
Rawa (Rawa dialect)	Raua, Erawa, Erewa, Karo	rwo	626		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=rwo&ROD_Code=626	Papua New Guinea	27				1										1		https://play.google.com/store/apps/details?id=org.wycliffe.rwo.rawa.nt		New Testament: https://virtualstorehouse.org/products/rawa-rawa-dialect-nt-rwor-908		Rawa New Testament (RWORNT): https://www.bible.com/bible/1314/MAT.1	https://globalrecordings.net/en/language/626	1	https://www.scriptureearth.org/data/rwo/study/Rawa(RawaDialect)NT.jar	https://www.scriptureearth.org/data/rwo/study/rwoR.bbl.mybible		https://www.scriptureearth.org/data/rwo/video/JESUSFilm-rwoR.txt	https://www.scriptureearth.org/data/rwo/video/LukeVideo-rwoR.txt																	language map: https://joshuaproject.net/languages/rwo	
Rejang Lebong	Kepahiang, Lebong, Musi, Pasisir, Rawas, Curup, Kebanagung, Rejang, Djang, Jang, Redjang	rej			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=rej	Indonesia															1							https://www.globalrecordings.net/en/language/rej					https://www.scriptureearth.org/data/rej/video/JESUSFilm-rej.txt																		language map: https://joshuaproject.net/languages/rej	
