English Language Name	Alternate Language Name	iso	rod	var	URL	Country(ies)	NT PDF count	NT Audio count	NT Partial PDF count	NT Partial Audio count	NT PDF Whole count	NT Audio Whole count	OT PDF count	OT Audio count	OT Partial PDF count	OT Partial Audio count	OT PDF Whole count	OT Audio Whole count	Bible PDF count	Bible Audio count	Scripture App Builder HTML (SE)	Online Viewer (SE)	Google Play (Android app) (SE)	Android App (SE version)	Buy	BibleIs	YouVersion	GRN	eBible	GoBible (SE)	MySword (Android) (SE)	Playlist Audio (SE)	Jesus Film	Luke Vidoe	John Video	Acts Video	Genesis Video	God's Story Video	The Good Samaritan Video	Magdalena Video	John Animation Video (SE)	Scripture Animation Video (SE)	The Last Day Video	Story of Jesus for Children Video	History	5fish	iTunes	One Story	Bibles for India	Bibles for Russia	Maps
Varisi	Ghone, Varisi, Varese	vrs			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=vrs	Solomon Islands																					1	1																							1
Varli	Davari, Eastern Nihiri, Western Nihiri, Warli	vav			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=vav	India																						1					1																		1
Vasavi	Adiwasi Bhil, Ambodia Bhil, Bhilori, Dhogri Bhil, Keski Bhil, Padwi Bhilori, Vasava, Vasava Bhil, Vasave, Ambodi, Dehvali, Dogri, Khatalia, Kot, Ambodia, Dhogri, Dungri, Kolche	vas			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=vas	India																						1					1	1																	1
Vasui (Tinputz)	Tinputz, Timputs, Vasui, Vasuii, Wasoi, Vado, Vado-Vaene', Vaene', Vapopeo', Vapopeo'-Rausaura, Vasui, Vavoehpoa', Timputs, Vasuii, Wasoi	tpz			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=tpz	Papua New Guinea	27				1												1		1	1	1	1	1		1		1																		1
Venda	Guvhu, Ilafuri, Lembetu, Manda, Mbedzi, Phani, Ronga, Tavha-Tsindi, Central Venda, East Venda, Southeast Venda, West Venda, Chivenda, Luvenda, Tavhatsindi, Cevenda, Luvenḓa, Tshivenḓa	ven			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=ven	South Africa, Zimbabwe																					1	1					1											1							
Veqaura (Meauna) Omwunra-Toqura or South Tairora	Tairora, South	omw	veqau		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=omw&rod=veqau	Papua New Guinea																							1																						1
Verre	Mom Jango, Kobo, Vere, Were, Bai, Gweri, Momi, Wombi, Ziri	ver			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=ver	Cameroon, Nigeria																											1																		
Vicentian Creole English		svc			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=svc	Saint Vincent and the Grenadines																				1																						1			1
Vicentian Creole English	Crucian Creole	vic			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=vic	British Virgin Islands, US Virgin Islands																				1																						1			1
Vidunda	Chividunda, Kividunda, Ndunda	vid			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=vid	Tanzania																				1	1	1	1				1																		1
Vietnamese	Annamese, Ching, Gin, Jing, Kinh, Viet, Tiếng Việt, Yuenan-yu, Central Vietnamese, Northern Vietnamese, Southern Vietnamese, Hanoi, Hue, Tonkinese	vie			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=vie	Cambodia, China, Vietnam																			4	4	7	1	1				1							1				2							1
Vili	Civili ci Loango, Civili ci Moongo, Civili ci Waanda, Civili ci Yombe, Kotchi, Lindji, Woyo, Bavili, Civili, Fiot, Fiote, Tshivili, Tsivili	vif			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=vif	Congo, Gabon																	1			1	1						1																		
Vitu	Bali, Witu, Bali-Vitu, Muduapa, Pole Matotoa, Pole Vitu, Tok Vitu, Vittu	wiv			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=wiv	Papua New Guinea																											1																		1
Vute	Bute Bamnyo, Kumbere, Nduvum, Ngoro, Nudoo, Nugane, Nujum, Vute Mbanjo, Vute de Banyo, Vute de Doume, Vute de Linte, Vute de Mbandjok, Vute de Ngorro, Vute de Sangbe, Vute de Tibati, Vute de Yangba, 'Abotee, 'Abwetee, Baboute, Bamboute, Boute, Bubure, Bule, Bute, Foute, Luvure, Nbule, Pute, Voute, Voutere, Woute, Wute, nyindi vɨtèé, Babute, Buti, Fute, Mbute, Mbutere, Mfuti, Vutere, Wetere	vut			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=vut	Cameroon, Nigeria																				1	1	1																							
Vwanji	Kivwanji, Kiwanji, Wanji	wbi			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=wbi	Tanzania		260				1														1	1						1																		1
Wa	Wa, Vo, Ban, K'awa, Kawa, La, Pan, Pinyin, Pun, Va, Vax, Vo, Wa Pwi, Wakut, Meung Hom, Peung Sux, Vhax	wbm			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=wbm	China																					1	1					1																		1
Wa	Aishuai, Alwa, Banhong, Dazhai, Wa, Parauk, Baraog, Baroke, Buliu, Bulu, Burao, Phalok, Praok, Ai Cheung, Ai Swa, Ang Krax, Awm Plawk, Bible Wa, Caong Naong, Cuan, Hom, Ien, Kang Seu, Kaung Sang, Kawn Cawng, Kawn Jiem, Kawn Mau, Kawn Poih, Kawn Rao, Kawng Lang, Kha Lax, Khui Ma, Kok Lah, La Dah, La Kong, Lah Kreum, Lhax Tiah, Lung Kua, Man Leen, Man Shiang, Man Teu, Man Tong, Meung, Meung Kun, Meung Mao, Meung Yum, Muik Lhang, Muik Lhax, Muik Nghawng, Muik Nu, Muik Raix, Muik Sime, Nawng Plawx, Nom Tum, Pa Tah, Pang Vai, Pang Yang, Panglao, Rho Mawng, Rok Tong, Sau Hin, Savaik, Si Gang Rai, Si Nawk, Si Nga, Si Viex, Simung, Taoh Mie, Toi Lawng, Veng Ngeen, Vui Sai, Yaong Brex, Yaong Khrum, Yaong Krak, Yaong Kua, Yaong Leen, Yaong Lung, Yaong Nong, Yaong O, Yaong Peng, Yaong Raok, Yaong Riex, Yaong Sang, Yaong Soi, Yaong Ting, Ying Phang, Jo Phyu, Man Teey, Man Ton, Muik Khaox, Sigang, Standard Wa	prk			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=prk	China, Myanmar, Thailand																				1		1																							
Waama	Tangamma, Wama, Yoabou, Yoabu	wwa			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=wwa	Benin																				1		1					1																		1
Waata	Ariangulu, Langulo, Sanya, Sanye, Waat, Wasanye	ssn			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=ssn	Kenya																						1					1																		1
Waddar	Od, Orh, Vadari, Vadda Beldar, Werders, Wodde, Orh, Vadari, Vadda Beldar, Werders, Wodde	wbq			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=wbq	India																						1					1																		1
Waffa		waj			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=waj	Papua New Guinea	27				1												1		1	1	1	1	1	1	1																				1
Wagdi	Adivasi Wagdi, Kherwara, Rewadi, Sagwara, Bhili, Bhilodi, Mina Bhil, Vagadi, Vagari, Vagdi, Vaged, Vageri, Vagi, Wagadi, Wagari, Waghari, Wagholi, Wagri	wbr			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=wbr	India																											1																		1
Wagi	Kamba, Foran, Furan, Mis-Kemba	fad			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=fad	Papua New Guinea																					1	1																							1
Waima	Roro, Paitana	rro			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=rro	Papua New Guinea	27				1												1		1	1	1	1	1	1	1			1																	1
Waimaha	Waimaja, Bará, Barasano, Northern Barasano, Barazana, Waimajã, Waípinõmakã, Eastern Waimaha, Pamoa Bara, Barasano del Norte, Bará-Tuyuka, Waimasa, Waymasa	bao			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=bao	Brazil, Colombia	27				1										1		1		1	1	1	1	1		1		1	1		1	1				2	2									1
Waiwai	UaiUai, Ouayeone, Uaieue, Katawian, Cachuena, Catauian, Catawian, Karahawyana, Katawina, Katuena, Katwena, Parucutu, Parukutu, Tonayana, Tunayana, Tunayana-Waiwai, Wai Wai, Parukota, Uaiuai	waw			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=waw	Brazil, Guyana, Suriname															1		2			1		1			1	1		1							2	2									1
Waja	Deruwo, Wajan Dutse, Wajan Kasa, Nyan Wiyau, Wiyaa, Wuya	wja			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=wja	Nigeria																											1																		1
Wakhi	Vakhan, Wakhani, Wakhigi, Khik, Khikwar, Wakhani, Wakhigi, Eastern Wakhi, Gojal, Ishkoman, Yarkhun, Yasin, X̌ik zik, X̌ikwor, Xhikwor, Central Wakhi, Western Wakhi, Guhjali	wbl			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=wbl	Afghanistan, China, Pakistan, Tajikistan																						1																						1	
