English Language Name	Alternate Language Name	iso	rod	var	URL	Country(ies)	NT PDF count	NT Audio count	NT Partial PDF count	NT Partial Audio count	NT PDF Whole count	NT Audio Whole count	OT PDF count	OT Audio count	OT Partial PDF count	OT Partial Audio count	OT PDF Whole count	OT Audio Whole count	Bible PDF count	Bible Audio count	Scripture App Builder HTML (SE)	Online Viewer (SE)	Google Play (Android app) (SE)	Android App (SE version)	Buy	BibleIs	YouVersion	GRN	eBible	GoBible (SE)	MySword (Android) (SE)	Playlist Audio (SE)	Jesus Film	Luke Vidoe	John Video	Acts Video	Genesis Video	God's Story Video	The Good Samaritan Video	Magdalena Video	John Animation Video (SE)	Scripture Animation Video (SE)	The Last Day Video	Story of Jesus for Children Video	History	5fish	iTunes	One Story	Bibles for India	Bibles for Russia	Maps
|Gwi	Khute, Dcui, G!wikwe, Gcwi, G|wi, G|wikhwe	gwj			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=gwj	Botswana																				1		1																							1
A-Hmao	Miao, Large Flowery, A-Hmaos, Ad Hmaob lul, Big Flowery Miao, Da Hua Bei Miao, Da Hua Miao, Diandongbei Miao, Flowery Miao, Great Flowery Tribe, Hua Miao, Hwa Miao, Northeastern Dian Miao, Northeastern Yunnan Miao, Ta Hwa Miao	hmd			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=hmd	China																											1							1											1
Aari	Bako, Biyo, Laydo, Seyki, Shangama, Sido, Wubahamer, Zeddo, Baco, Bio, Ubamer, Aarai, Ara, Ari, Aro	aiw			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aiw	Ethiopia																				1							1																		1
Aatasara South Tairora	Tairora, South	omw	vinat		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=omw&rod=vinat	Papua New Guinea																							1																						1
Abanglekuo	Basang, Bebi, Bishiri, Bisu, Busi, Gayi, Obanliku, Abanliku	bzy			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=bzy	Nigeria																											1																		1
Abau	Green River, Central Abau, Downriver Abau, Downriver border Abau, Upriver Abau, Oriyai	aau			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aau	Papua New Guinea	27				1											1	1		1	1	1	1	1	1	1		1																		1
Abidji	Enyembe, Ogbru, Abiji	abi			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=abi	Côte dꞌIvoire																	1			1		1					1																		1
Abkhaz	Abzhui, Bzyb, Samurzakan, Abkhazian, Abxazo	abk			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=abk	Georgia, Turkey																						1					1																		1
Abuan	Abua	abn			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=abn	Nigeria															1		1				1																								1
Abun	Abun Je, Abun Ji, Abun Tat, Karon Pantai, Madik, A Nden, Karon, Manif, Yimbun	kgr			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=kgr	Indonesia																				1	1	1																							1
Aceh	Banda Aceh, Baruh, Bueng, Daja, Pase, Pidie, Tunong, Pedir, Timu, Acehnese, Achehnese, Achinese, Atjehnese, Bahsa Acèh, Basa Acèh	ace			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=ace	Indonesia																				1	1	1					1																		1
Achagua	Ajagua, Xagua	aca			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aca	Colombia	10		10												1		1		1	1	1	1			1											2									1
Ache	Ache gatu, Ache purä, Ache wa, Ñacunday River Ache, Ache irollä, Ache-Guayaki, Axé	guq			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=guq	Paraguay																				1		1					1																		1
Achí	Rabinal K'iche', Rabinal Achí	acr		new alphabet	https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=acr&var=b	Guatemala, Guatemala	27	260			1	1										1	1	1	1	1	1	1	1		1		1																		1
Achí	Rabinal K'iche', Rabinal Achí, Cubulco Achi, Maya Achi, Rabinal Achi, Achi, Qach'a'teem	acr		traditional alphabet	https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=acr&var=a	Guatemala, Guatemala	27	260			1	1										1	1	1	1		2	1	1		1		1																		1
Achi de Cubulco		acc			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=acc	Guatemala																				1		1																							1
Achiꞌ, Cubulco		acr	2098		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=acr&rod=2098	Guatemala	27				1												1		1	1	1	1	1	1	1		1																		1
Acholi	Acoli, Acooli, Akoli, Atscholi, Dok Acoli, Gang, Log Acoli, Lwo, Shuli, Dhopaluo, Chope, Chopi, Lwoo, Lëbacoli	ach			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=ach	South Sudan, Uganda																				1	1	1					1																		
Achuar-Shiwiar	Achual, Achuale, Achuar, Achuara, Jivaro, Maina, Achiar chícham, Achuar-Shiviar, Achuar-Shiwiara, Achuare, Achuár chícham, Ashuar, Atchuara, Shiwiar chícham, Áints, Shiwiar	acu			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=acu	Peru															1		1		1	1	2	1	1	1	1		1								2	2									1
Adasen	Eastern Addasen, Western Addasen, Addasen, Addasen Tinguian, Itneg Adasen	tiu			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=tiu	Philippines																					1	1																							1
Adele	Bedere, Bidire, Gadre, Gidere, Gidire, Lower Adele, Upper Adele	ade			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=ade	Ghana, Togo															1		1			1		1					1								2	2									1
Adi	Luoba, Boga'er, Abor, Adi-Bokar, Bengni-Boga'er, Boga'er, Bokar, Lho-Pa, Lhoba, Ashing, Bori, Karko, Komkar, Milang, Minyong, Padam, Pailibo, Pangi, Pasi, Ramo, Shimong, Tangam, Boga'er Luoba, Milan, Abhor, Bori-Karko, Luoba	adi			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=adi	China, India																					1						1																		
Adioukrou	Adjukru, Adyoukrou, Adyukru, Ajukru, Mɔjukru, Mojukru	adj			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=adj	Côte dꞌIvoire	27				1												1			1	1	1			1		1																		1
Adygey	Adygei, Adygey, Kiakh, Kjax, Lower Circassian, Lowland Adyghe, West Circassian, Western Adyghe, Western Circassian, Adyghe, Abadzex, Bezhedukh, Natuzaj, Shapsug, Xakuchi, Abadzakh, Abadzeg, Bzedux, Bzhedug, Chemgui, Natukhai, Sapsug, Shapsugi, Temirgoj, Adəgăbză, Cherkes	ady			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=ady	Iraq, Israel, Jordan, Macedonia, Russia, Syria, Turkey																	1		1	1	1	1					1																	1	1
Adzera	Acira, Atsera, Atzera, Azera, Amari, Guruf-Ngariawang, Ngarowapum, Tsumanggorun, Yarus, Ngariawan	adz			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=adz	Papua New Guinea							1		1							1				2	1	1	1				1																		1
Afar	Afaraf, Qafar, Qafar af, ʿAfár af, Aussa, Ba'adu, Central Afar, Northern Afar, Baadu, Adal, Affar, Affarigna	aar			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aar	Djibouti, Eritrea, Ethiopia																											1							1											
Afrikaans		afr			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=afr	Botswana, Malawi, Namibia, South Africa, Swaziland, Zambia																			2	1	5						1							1				1							
Agarabi	Agarabe, Bare, Bare	agd			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=agd	Papua New Guinea	27				1											1	1		1	1	1	1	1	1	1		1																		1
Agatu	North Idoma, Ochekwu	agc			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=agc	Nigeria																											1																		1
Aghem	Aghɨ̂m, Wum, Yum	agq			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=agq	Cameroon																					1	1					1																		1
Agta, Casiguran Dumagat	Casiguran Dumagat, Agta, Agta Casiguran, Casiguran Agta	dgc			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=dgc	Philippines	27				1												1				1	1	1	1	1																				1
Agta, Central Cagayan	Labin Agta, Agta	agt			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=agt	Philippines	27				1												1		1		1	1	1	1	1																				1
Agta, Dupaninan	Dupaningan Agta, Eastern Cagayan Agta, Barongagunay, Bolos Point, Camonayan, Palaui Island, Peñablanca, Roso, Santa Ana-Gonzaga, Santa Margarita, Tanglagan, Valley Cove, Yaga, Southeast Cagayan, Eastern Cagayan Agta	duo			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=duo	Philippines	27				1												1		1	1	1	1		1	1																				1
Agta, Pahanan	Pahanan, Palanan Agta	apf			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=apf	Philippines																				1		1																							1
Agta, Umiray Dumaget	Umiray Agta, Umirey Dumagat, Anglat Agta, Polillo Island Agta, Dumagat-Bulos, Dumaget-Bulus, Umirey Dumagat	due			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=due	Philippines																	1		1	1	1	1			2																				1
Agul	Aghul, Fit'e, Gequn, Keren, Koshan, Tsirkhe, Burkikhan, Q'ushan, Aghul-ch'al, Agiul Shui	agx			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=agx	Russia																	1			1	1	1																						2	1
Agutaynen	Agutayno, Agutaynon, Agutayano, Agutaynon	agn			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=agn	Philippines	27				1											1	1		1	1	1	1	1	1	1			1																	1
Ahanta	Ayɩnda	aha			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aha	Ghana																											1																		1
Ahirani	अहिराणी, Ahiri	ahr			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=ahr	India																	1			1	1	1																					2		1
Aikana	Masaká, Tubanao, Massaca, Aikanã, Aikaná, Corumbiara, Huari, Kasupá, Kolumbiara, Mondé, Tubarão, Uari, Wari	tba			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=tba	Brazil																											1																		1
Aimol	Langrong	aim			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aim	India																					1	1																							1
Ainu	Hokkaido, Kuril, Sakhalin, Taraika, Ezo, Saghilin, Shikotan, Tsishima, Yezo, Ainu Itak	ain			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=ain	Japan																					1	1																							1
Aja-Gbe	Dogbo, Hwe, Sikpi, Tado, Tala, Ehoue, Shikpi, Tadou, Aja, Adja, Ajagbe, Hwè, Dogo	ajg			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=ajg	Benin, Togo																											1																		
Ajië	A'jie, Anjie, Houaïlou, Waawilûû, Wai, Wailu	aji			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aji	New Caledonia																					1	1																							1
Ajyininka Apurucayali	Ajyéninka, Apurucayali Campa, Ashaninca, Ashéninca Apurucayali, Axininka Campa, Campa, Ajyíninka Apurucayali	cpc			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=cpc	Peru	27				1										1	1	1		1		1	1	1		1																				1
Akan: Akuapem	Akan, Akuapem	aka	02272		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aka&rod=02272	Ghana																				1							1																		1
Akan: Asante	Akan, Asante	aka	00360		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aka&rod=00360	Ghana																				2							1																		1
Akan: Fante	Akan, Fante, Abura Fanti, Agona, Ahafo, Akuapem, Akyem, Anomabo Fanti, Asante, Asen, Dankyira, Gomua, Kwawu, Achanti, Akuapim, Akwapem Twi, Akwapi, Akyem Bosome, Asanti, Ashante Twi, Fanti, Kwahu, Mfantse, Twi	aka	00181		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aka&rod=00181	Ghana																			4	1							1																		1
Akawaio	Acahuayo, Acewaio, Akawai, Ingariko, Ingarikó, Acewaio, Akawai, Akawayo, Akwaio, Kapon, Kapóng, Patamona, Ingariko, Acawayo, Waicá, Waika	ake			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=ake	Brazil, Guyana, Venezuela	27				1											1	1			1	1	1	1		1																				2
Akebu	Akebou, Akébou, Ekpeebhe, Ekpeebhibhe, Gakagba, Kabu, Kebu, Kegberike, Kǝkpǝǝ-kǝ, Kébou, kekpeerike	keu			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=keu	Togo																											1																		1
Akeu	Ake, Aki, Akui, Aki, Akui, Gokhu, Gaolkheel, Akheu, Gokhy	aeu			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aeu	China, Laos, Myanmar, Thailand																		1		1	1	1					1																		
Akha	Ahka, Aini, Ak'a, Aka, Ikor, Yani, Aini, Ak'a, Aka, Ikor, Yani, Khao Ikor	ahk			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=ahk	China, Laos, Myanmar, Thailand, Vietnam																				2	2	1					1											1							
Aklanon	Akeanon, Aklan, Aklano, Aklanon-Bisayan, Inakeanon, Panay	akl			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=akl	Philippines																											1																		1
Akoose	Elung, Mwambong, Mwamenam, Ninong, Northern Bakossi, Southern Bakossi, Western Bakossi, Along, Elong, Mouamenam, Nlong, Akose, Akosi, Bafaramani, Bakosi, Bakossi, Bekoose, Koose, Kosi, Kosse, Kossi, Manenguba, Ngoe, Nkoosi, Nkosi	bss			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=bss	Cameroon																				1	1	1	1				1																		1
Akposo	Amou Oblou, Ikponu, Iwi, Litime, Logbo, Uma, Badou, Uwi, Akposso, Ikposo, Ikposso, Kposo	kpo			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=kpo	Ghana, Togo																											1																		
Akukem	Sepen	spm			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=spm	Papua New Guinea																					1	1	1																						1
Alaba	Alaaba, K'abeena, Qebena, Wanbasana, Alaba-K'abeena, Allaaba, Halaba, K'abena	alw			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=alw	Ethiopia																				1							1																		1
Alagwa		wbj			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=wbj	Tanzania																																										1			1
Alamblak	Karawari, Kuvenmas, Arambak	amp			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=amp	Papua New Guinea	27				1											1	1		1	1	1	1	1	1	1																				1
Alangan		alj			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=alj	Philippines																				1		1																							1
Albanian		sqi			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=sqi	Albania																			2		7																								1
Albanian	Cham Tosk, Lab Tosk, Northern Tosk, Labërisht, Çam, Albanian, Tosk, Arnaut, Shkip, Shqip, Skchip, Tosk, Zhgabe, Arvanitika, Camerija	als			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=als	Albania, Greece, Turkey	27				1		39				1		1				1			2	1	1	1	1	1		1							1				1							1
Albanian, Gheg	Geg,, Gegnisht-Shqyp, Gheg, Guegue, Shopni, Shqip, Shqyp	aln			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aln	Albania, Bulgaria, Macedonia, Montenegro, Romania, Serbia, Slovenia																					1	1					1																		
Ale, Gawwada	Dobase, Gargarte, Golango, Gorroze, Harse, Tihinte, Dihina, Gobeze, K'ark'arte, Kollanko, Wollango, Worase, Dabosse, Debase, Dullay, Qawko, Werizoid	gwd			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=gwd	Ethiopia																						1					1																		1
Alekano	Gafuku, Gahuku, Gahuku-Gama, Gahuku, Gahuku-Asaro, Gahuku-Gama	gah			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=gah	Papua New Guinea	27				1											1	1			1	1	1	1		1			1																	1
Algonquin	Northern Algonquin, Southern Algonquin, Anishinaabemowin, Anishinàbemiwin, Nipissing, Algonkin, Anicinàbemowin	alq			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=alq	Canada																			1		1	1	1																						1
Alis I Ron	Lis Ma Ron, Shagau, Alis I Run, Bokkos, Lis Ma Run, Maleni, Manguna, Nafunfia, Shagawu, Ron	cla	02469		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=cla&rod=02469	Nigeria																											1																		1
Alladian	Aladian, Alladyan, Allagia, Allagian	ald			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=ald	Côte dꞌIvoire																				1	1	1																							1
Altai, Northern	Telengit, Telengut, Teleut, Chelkan	atv			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=atv	Russia																	1	1									1																		1
Altai, Southern	Altai Proper, Talangit, Teleut, Altai-Kizhi, Altaj Kizi, Chuy, Maina-Kizhi, Southern Altai, Talangit-Tolos, Telengit, Altai, Oirot, Oyrot	alt			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=alt	Russia																		1		1	1	1					1																		1
Alune	Patasiwa Alfoeren, Sapalewa, Central East Alune, Central West Alune, Kairatu, North Coastal Alune, South Alune, Buriah-Weth-Laturake, Nikulkan-Murnaten-Wakolo, Niniari-Piru-Riring-Lumoli, Rambatu-Manussa-Rumberu, Sapalewa	alp			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=alp	Indonesia															1		1			1	1	1	1	1	1																				1
Alur	Jonam, Ngora, Aloro, Alua, Alulu, Dho Alur, DhuAlur, Jo Alur, Lur, Luri, Jokot, Mambisa, Wanyoro	alz			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=alz	Democratic Republic of the Congo, Uganda																				1	1	1					1																		
Alyawarr	Aljawara, Alyawarra, Alyawarre, Iliaura, Yowera	aly			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aly	Australia																					1	1						2																	1
Ama	Sawiyanu	amm			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=amm	Papua New Guinea	27				1											1	1		1	1	1	1	1	1	1																				1
Amahuaca	Amaguaco, Amawaka, Ameuhaque, Ipitineri, Sayaco, Inuvaken, Viwivakeu, Amawaca, Amawáka, Amenguaca, Sayacu, Yora, Amahuaka, Amajuaca, Amawaka, Ameuhaque, Ipitineri, Ipitnere, Sayaco	amc			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=amc	Brazil, Peru																						1						1																	1
Amam	Biliau, Galeg, Suit, Yamai, Yori, Semang, Awad Bing, Awad Gey, Bing, Samang, Sengam	bcu			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=bcu	Papua New Guinea																											1																		1
Amanab	Awai	amn			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=amn	Papua New Guinea	27				1											1	1		1	1	1	1	1	1	1		1																		1
Amarasi	Timor Amarasi, Uab Meto, Kotos, Ro'is, Ro'is Hero, Ro'is Tais Nonof, Kopa, Uab Meto	aaz			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aaz	Indonesia															1		1			1	1	1	1		1																				1
Ambae, East	Lolokaro, Lolovoli, Lombaha, Longana, Lobaha, Lolokara, Lolsiwoi, Aoba, Northeast Ambae, Northeast Aoba, Oba, Omba, Walurigi	omb			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=omb	Vanuatu																					1	1					1																		1
Ambae, West	Nduindui, Walaha, Duindui, Duidui, Opa	nnd			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=nnd	Vanuatu																					1	1																							1
Ambai	Ambai-Menawi, Manawi, Randawaya, Wadapi-Laut	amk			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=amk	Indonesia	27				1												1		1	1	1	1	1	1	1		1																		1
Ambrym, North	Magam, Olal	mmg			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=mmg	Vanuatu																				1		1																							1
Ambrym, Southeast	Endu, Penapo, Taveak, Toak, Taviak	tvk			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=tvk	Vanuatu	7		7				2		2							1			1	1	1	1	1	1	1		1																		1
Ambulas (Maprik)	Maprik, Abelam, Abulas	abt	444		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=abt&rod=444	Papua New Guinea	27				1											1	1		1	1	1	1	1		1																				1
Ambulas (Wosara-Kamu)	Wosara-Kamu, Abelam, Abulas, Maprik, Wingei, Wosera-Kamu, Wosera-Mamu, Ambulas, Abelam, Abulas	abt	3053		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=abt&rod=3053	Papua New Guinea	27				1											1	1		1		1	1	1		1																				1
Amele	Amale, Haija, Huar, Jagahala	aey			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aey	Papua New Guinea	27				1		1		1							1	1		1	1	1	1	1	1	1																				1
American Sign Language	ASL, LSAF, Langue des signes de l'Afrique francophone, Benin Sign Language, Ameslan, Langue des signes américaine, Langue des signes congolaise, Langue des signes du Congo, LSAF Ivoirienne, LSCI, Langue des signes d'Afrique francophone, Langue des signes de Côte d'Ivoire, Francophone ASL, Gabonese Sign Language, Haitian Sign Language, LSH, Langue des signes haïtienne, LSFA, Langue des signes franco-africaine, Togo Sign Language, Black American Sign Language, Tactile American Sign Language, Black ASL, TASL, Tactile ASL, SIGN AMERICA	ase			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=ase	Canada, Grenada, Saint Kitts and Nevis, Saint Vincent and the Grenadines, Trinidad and Tobago, United States, US Virgin Islands																						1					1																		
Amharic	Abyssinian, Amarigna, Amarinya, Amhara, Ethiopian, Beta Israel	amh			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=amh	Ethiopia, Israel																	2		5	4	1	1	1				1							1				1			1				
Amis	Ami, Amia, Bakurut, Lam-Si-Hoan, Maran, Pagcah, Pangcah, Pangtsah, Sabari, Tanah, Central Amis, Chengkung-Kwangshan, Northern Amis, Southern Amis, Tavalong-Vataan, Haian Ami, Hengch'un Amis, Hsiukulan Ami, Kuangfu, Kwangfu, Nanshi Amis, Peinan, Taitung, Amia, Bakurut, Lam-Si-Hoan, Maran, Pagcah, Pangcah, Pangtsah, Sabari, Tanah	ami			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=ami	Taiwan																	1	1		1		1																							1
Amri Karbi	Lower Amri, Upper Amri, Amri	ajz			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=ajz	India																					1	1																							1
Amuzgo, Guerrero	Amuzgo de Xochistlahuaca, Amuzgo de Zacoalpan, Cochoapa, Huehuetonoc, Amuzgo del Norte, Amuzgo del Sur, Jñom'ndaa, Nomndaa, Ñomndaa, Ñonda	amu			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=amu	Mexico	27	260			1	1									1	1	1	3	1	1	1	1	1	1	1		1				1				2	2									1
Amuzgo, San Pedro Amuzgos	Amuzgo de San Pedro Amuzgos, Amuzgo Bajo del Este, Jn'oon, Jñon'ndaa, Oaxaca Amuzgo, Ñonda	azg			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=azg	Mexico	27				1										1	1	1	3	1	1	1	1	1	1			1								2	2									1
Anaang	Abak, Ikot Ekpene, Ukanafun, Anaañ, Anang, Annang	anw			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=anw	Nigeria																											1																		1
Anal	Laizo, Mulsom, Namfau	anm			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=anm	India, Myanmar																					1	1																							1
Andi	Andii, Andiy, Khivannal, Qandisel, Qwannab, Gagatl, Kvanxidatl, Lower Andi/South Andi, Munin, Rikvani, Upper Andi/North Andi, Ashali, Chanho, Gagtl, Gunho, Zilo, Andiy, Khivannal, Qandisel, Qwannab	ani			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=ani	Russia																						1																						1	1
Aneityum	Aneiteum, Aneiteumese, Anejom, Anejom̃, Antas Anejom̃, Intas Anejom	aty			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aty	Vanuatu																					1	1																							1
Aneme Wake	Abia, Abie, Auwaka, Buniabura, Doma, Jari, Mori, Abie	aby			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aby	Papua New Guinea	27				1											1	1		1	1	1	1	1		1																				1
Angaataha	Angaatiha, Angaatiya, Angataha, Langimar, Angaatiya, Angataha, Langimar	agm			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=agm	Papua New Guinea	27				1											1	1		1	1	1	1	1		1		1																		1
Angal Heneng	Agarar, Augu, Katinja, Wage, West Angal Heneng, West Mendi, Augu, Nipa, Ota, Waola, Wala, Katinja, Wage, West Angal Heneng, West Mendi	akh			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=akh	Papua New Guinea	27				1											1	1		1	1	1	1	1	1	1		1																		1
Angika	Anga, Angikar, Chhika-Chhiki	anp			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=anp	India, Nepal																											1															1			
Angloromani	Anglo-Romani, English Romani, Gypsy Jib, Para-Romani, Pogadi Chib, Posh ‘N' Posh, Romanes, Romani, Romani English, Romani Mixed Dialect, Romanichal, Romano Lavo, Romany, Rummaness, Romanis	rme			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=rme	United Kingdom, United States																					4	1																							
Angolar		aoa			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aoa	São Tomé and Príncipe																																										1			1
Angor	Anggor, Senagi, Watapor, Nai, Samanai, Central Angor, Mamhoaf, Southern Angor, Wan	agg			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=agg	Papua New Guinea	27				1										1	1	1			1	1	1	1	1	1											2									1
Anindilyakwa	Andiljangwa, Andilyaugwa, Aninhdhilyagwa, Enindhilyagwa, Enindiljaugwa, Groote Eylandt, Ingura, Wanindilyaugwa	aoi			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aoi	Australia																					1	1																							1
Anjam	Bogadjim, Bogajim, Bogati, Bom, Lalok	boj			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=boj	Papua New Guinea	27				1											1	1	1	1	1	2	1	1	1	1		1																		1
Ankave	Angave, Ankai, Bu'u, Miyatnu, Sawuve, Wiyagwa, Wunavai	aak			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aak	Papua New Guinea	27				1										1	1	1		1	1	1	1	1	1	1																				1
Anmatyerre	Eastern Anmatyerre, Western Anmatyerre, Kalenthelkwe, Kelentheyewelrere, Kelenthwelkere, Anmatjirra, Anmatyerr	amx			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=amx	Australia																					1	1																							1
Ansus		and			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=and	Indonesia																						1					1																		1
