English Language Name	Alternate Language Name	iso	rod	var	URL	Country(ies)	NT PDF count	NT Audio count	NT Partial PDF count	NT Partial Audio count	NT PDF Whole count	NT Audio Whole count	OT PDF count	OT Audio count	OT Partial PDF count	OT Partial Audio count	OT PDF Whole count	OT Audio Whole count	Bible PDF count	Bible Audio count	Scripture App Builder HTML (SE)	Online Viewer (SE)	Google Play (Android app) (SE)	Android App (SE version)	Buy	BibleIs	YouVersion	GRN	eBible	GoBible (SE)	MySword (Android) (SE)	Playlist Audio (SE)	Jesus Film	Luke Vidoe	John Video	Acts Video	Genesis Video	God's Story Video	The Good Samaritan Video	Magdalena Video	John Animation Video (SE)	Scripture Animation Video (SE)	The Last Day Video	Story of Jesus for Children Video	History	5fish	iTunes	One Story	Bibles for India	Bibles for Russia	Maps	
Totonaco, Sierra	Totonac, Highland, Sierra Totonac, Totonaco, Tutunakú	tos			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=tos	Mexico	27	21		21	1										1		https://play.google.com/store/apps/details?id=org.wycliffe.totonacosierra.tos	https://www.scriptureearth.org/data/tos/study/tosNT_Totonaco_Sierra3gp-9.2.1.apk: (con el texto y audio del Nuevo Testamento 291MB) ## https://www.scriptureearth.org/data/tos/study/tosNT_Totonaco_Sierra-4.7.apk: (para dispositivos móviles con menos de Android 4.0 21MB) ## https://www.scriptureearth.org/data/tos/study/tosNT_Totonaco_Sierra3gp-4.7.apk: (para dispositivos móviles con menos de Android 4.0 269MB)	New Testament: https://virtualstorehouse.org/products/totonaco-de-la-sierra-nt-tos ## Nuevo Testamento: https://www.amazon.com.mx/dp/1531306500/ref=as_li_ss_tl?ie=UTF8&linkCode=sl1&tag=biblebuild-20&linkId=8648695ba01ab5bffd8ec75e8b646492 ## New Testament: https://www.amazon.com/dp/1531306500/ref=as_li_ss_tl?ie=UTF8&linkCode=sl1&tag=biblebuild-20&linkId=8648695ba01ab5bffd8ec75e8b646492	https://live.bible.is/bible/TOSTBL	https://www.bible.com/bible/276/MAT.1	https://globalrecordings.net/en/language/57	1	https://www.scriptureearth.org/data/tos/study/tos_MAT_REV.jar	https://www.scriptureearth.org/data/tos/study/tos.bbl.mybible		https://www.scriptureearth.org/data/tos/video/JESUSFilm-tos.txt								https://www.scriptureearth.org/data/tos/video/tos-johnvids.txt ## https://www.scriptureearth.org/data/tos/video/tos-johnvids-640.txt	https://www.scriptureearth.org/data/tos/video/tos-scripture-videos.txt ## https://www.scriptureearth.org/data/tos/video/tos-ScriptureAnim-640.txt									language map: https://joshuaproject.net/languages/tos	
Totonaco, Xicotepec de Juárez	Totonaco Norte, Totonaco de Villa Juárez, Zihuateutla Totonac, Totonac, Xicotepec de Juárez, Northern Totonac, Xicotepec Totonac	too			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=too	Mexico	27				1										1	1	https://play.google.com/store/apps/details?id=org.wycliffe.totonacoxicotepec.too	https://www.scriptureearth.org/data/too/study/tooNT_Totonaco_Xicotepec-4.7.apk: (para dispositivos móviles con menos de Android 4.0)	New Testament: https://virtualstorehouse.org/products/totonaco-de-xicotepec-de-juarez-nt-too ## Nuevo Testamento: https://www.amazon.com.mx/d/1531306489/ref=as_li_ss_tl?ie=UTF8&linkCode=sl1&tag=biblebuild-20&linkId=10429cebad0fcfc3f5d7df9a82fbc644 ## New Testament: https://www.amazon.com/d/1531306489/ref=as_li_ss_tl?ie=UTF8&linkCode=sl1&tag=biblebuild-20&linkId=10429cebad0fcfc3f5d7df9a82fbc644		https://www.bible.com/bible/780/MAT.1	https://www.globalrecordings.net/en/language/too	1	https://www.scriptureearth.org/data/too/study/too_MAT_REV.jar	https://www.scriptureearth.org/data/too/study/too.bbl.mybible																				language map: https://joshuaproject.net/languages/too	
Toura	Tura, Ween, Wɛɛn, Boo, Guse, Gwéò, Naò, Wáádú, Yiligele, Wɛɛn, Ween	neb			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=neb	Côte dꞌIvoire															1		https://play.google.com/store/apps/details?id=org.wycliffe.neb.toura.bible			https://live.bible.is/bible/NEBWYI		https://www.globalrecordings.net/en/language/neb					https://www.scriptureearth.org/data/neb/video/JESUSFilm-neb.txt								https://www.scriptureearth.org/data/neb/video/neb-JohnAnim.txt ## https://www.scriptureearth.org/data/neb/video/neb-JohnAnim-640.txt	https://www.scriptureearth.org/data/neb/video/neb-ScrAnim.txt ## https://www.scriptureearth.org/data/neb/video/neb-ScrAnim-640.txt									language map: https://joshuaproject.net/languages/neb	
Toussian, Southern	Tusia, Tusian, Tusya, Tusyang, Win	wib			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=wib	Burkina Faso																					https://www.bible.com/bible/1311/MAT.1	https://www.globalrecordings.net/en/language/wib	1																						language map: https://joshuaproject.net/languages/wib	
Trinitario	Javierano, Loreto, Loretano, Mojos, Moxos	trn			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=trn	Bolivia																				https://live.bible.is/bible/TRNNTM		https://www.globalrecordings.net/en/language/trn					https://www.scriptureearth.org/data/trn/video/JESUSFilm-trn.txt																		language map: https://joshuaproject.net/languages/trn	
Trio	Pianokotó, Trió, Tarona, Tarëno, Tiriyó, Tirió, Yawi, Tarëno ijomi	tri			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=tri	Brazil, Suriname																				https://live.bible.is/bible/TRIUFM2		https://www.globalrecordings.net/en/language/tri																								
Triqui, Chicahuaxtla	Laguna, Chicahuaxtla Trique, Triqui Alto, Laguna, San José Xochistlá, Santo Domingo del Estado, Trike, Trique, Triqui Alto, Triqui de San Andrés Chicahuaxtla, nánj nï'ïn	trs			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=trs	Mexico	27				1										1		https://play.google.com/store/apps/details?id=org.scriptureearth.trs.nt	https://www.scriptureearth.org/data/trs/study/trs_Triqui_Chicahuaxtla_Biblia3gp-9.2.1.apk: (con el texto y audio del Nuevo Testamento 196MB) ## https://www.scriptureearth.org/data/trs/study/trs_Triqui_Chicahuaxtla_Biblia-4.7.apk: (para dispositivos móviles con menos de Android 4.0) ## https://www.scriptureearth.org/data/trs/study/trs_Triqui_Chicahuaxtla_Biblia3gp-4.7.apk: (para dispositivos móviles con menos de Android 4.0)		https://live.bible.is/bible/TRSUTI		https://globalrecordings.net/en/language/221			https://www.scriptureearth.org/data/trs/study/trs.bbl.mybible	historias del Antiguo Testamento									https://www.scriptureearth.org/data/trs/video/trs-johnvids.txt ## https://www.scriptureearth.org/data/trs/video/trs-johnvids-640.txt										language map: https://joshuaproject.net/languages/trs	
Triqui, Copala	Triqui de San Juan Copala, Triqui bajo, xna'ánj nu̲' a, xnánj nu̲' a, Copala Trique, Copala-Trique, Trike, Trique, Triqui Bajo, xna'ánj nu̱'	trc			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=trc	Mexico	27	122		122	1		2	11	2	11						1	https://play.google.com/store/apps/details?id=org.wycliffe.triquicopala.trc		Nuevo Testamento: https://virtualstorehouse.org/products/triqui-de-copala-nt-trc ## Nuevo Testamento: https://www.amazon.com.mx/dp/153130656X/ref=as_li_ss_tl?ie=UTF8&linkCode=sl1&tag=biblebuild-20&linkId=9ab3c6cfc9a187cb059233a87569942e ## New Testament: https://www.amazon.com/dp/153130656X/ref=as_li_ss_tl?ie=UTF8&linkCode=sl1&tag=biblebuild-20&linkId=9ab3c6cfc9a187cb059233a87569942e	- 1987 The Bible League: https://live.bible.is/bible/TRCWBT	https://www.bible.com/bible/742/MAT.1	https://www.globalrecordings.net/en/language/trc	1			resumen de Génesis y Éxodo	https://www.scriptureearth.org/data/trc/video/JESUSFilm-trc.txt	https://www.scriptureearth.org/data/trc/video/trc-triqui2Luc.txt ## https://www.scriptureearth.org/data/trc/video/trc-triqui2Lucvids-512.txt																	language map: https://joshuaproject.net/languages/trc	
Triqui, San Martín Itunyoso 	Triqui, San Martín Itunyoso, San Martín Itunyoso Trique, Triqui Alto, Triqui de San Martín Itunyoso, sná'ánj nì'	trq			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=trq	Mexico	27				1										1		https://play.google.com/store/apps/details?id=org.wycliffe.triquisanmartinitunyoso.trq	https://www.scriptureearth.org/data/trq/study/trqNT_Triqui_San_Martin_Itunyoso3gp-9.0.1.apk: (con el texto y audio del Nuevo Testamento 184MB)	New Testament: https://virtualstorehouse.org/products/triqui-de-san-martin-itunyoso-nt-trq	https://live.bible.is/bible/TRQTBL	Triqui, Itunyuso (TRQNT): https://www.bible.com/en-GB/bible/2284/MAT.1	https://www.globalrecordings.net/en/language/trq	1	https://www.scriptureearth.org/data/trq/study/trq_MAT_REV.jar																					language map: https://joshuaproject.net/languages/trq	
Tŕy	Central Tày, Eastern Tày, Northern Tày, Southern Tày, Thu Lao, Tày Bao Lac, Tày Trung Khanh, Ngan, Phen, T'o, Tai Tho	tyz			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=tyz	Vietnam																					Cằm Po̱ Fạ Chao Kiết Mấư (CPF): https://www.bible.com/en-GB/bible/2432/MAT.1	https://www.globalrecordings.net/en/language/tyz																							language map: https://joshuaproject.net/languages/tyz	
