English Language Name	Alternate Language Name	ISO code	ROD code	Variant code	URL	Country(ies)	NT PDF count	NT Audio count	NT Partial PDF count	NT Partial Audio count	NT PDF Whole count	NT Audio Whole count	OT PDF count	OT Audio count	OT Partial PDF count	OT Partial Audio count	OT PDF Whole count	OT Audio Whole count	Bible PDF count	Bible Audio count	Scriture App Builder HTML	Google Play (Android app)	Android App (SE version)	Buy	BibleIs	YouVersion	Bibles.org	GRN	GoBible	MySword (Android)	Playlist Audio	Jesus Film (SE and YouTube)	Luke Vidoe	John Video	Acts Video	Genesis Video	God's Story Video	The Good Samaritan Video	Magdalena Video	John Animation Video	Scripture Animation Video	The Last Day Video	Jesus/Children Video	History	5fish	iTunes	Maps	
Efik	Calabar	efi			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=efi	Nigeria															1			Bible (ZakBijbelBond): https://www.zakbijbelbond.nl/en/efik-bibles/	https://live.bible.is/bible/EFIEFI/mat/1							https://www.scriptureearth.org/data/efi/video/JESUSFilm-efi.txt																
Eggon	Egon, Hill Mada, Mada Dutse, Mada Eggon, Mo Egon	ego			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=ego	Nigeria															1											https://www.scriptureearth.org/data/ego/video/JESUSFilm-ego.txt																
Ejagham	Eastern Ejagham, Southern Ejagham, Western Ejagham, Abakpa, Aqua, Ekin, Kwa, Qua, Edjagam, Ejagam, Ejaham, Ejwe, Ekoi, Etung, Keaka, Obang	etu			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=etu	Cameroon, Nigeria															1											https://www.scriptureearth.org/data/etu/video/JESUSFilm-etu.txt																
Ekajuk	Akajo, Akajuk, Ebanimbim, Ekagongho, Esham, Mfom, Akajuk	eka			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=eka	Nigeria			100						100						1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.wycliffe.eka.ekajuk.bible			https://live.bible.is/bible/EKAWYI/Mat/1	Bible.com (YouVersion): https://www.bible.com/bible/1154/MAT.1	Bibles.org: https://bibles.org/eka-EKANT/Matt/1	Audio recordings (Global Recordings Network): http://globalrecordings.net/en/language/2190		 eka.bbl.mybible		https://www.scriptureearth.org/data/eka/video/JESUSFilm-eka.txt															languages of Nigeria: http://www.ethnologue.com/map/NG_10	
Ekegusii	EkeGusii, Gusii, Guzii, Kisii, Kosova	guz			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=guz	Kenya, Tanzania															1			Bible (ZakBijbelBond): https://www.zakbijbelbond.nl/en/ekegusii-bibles/	https://live.bible.is/bible/GUZGUZ/mat/1							https://www.scriptureearth.org/data/guz/video/JESUSFilm-guz.txt																
Ekpari	Alifokpa, Ijiegu, Yace, Iyace, Yache, Yatye	ekr			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=ekr	Nigeria															1																											
Eleme	Nchia, Odido	elm			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=elm	Nigeria															1																											
Elhomwe	Mihavane, Muhavani, Lomwe, Malawi, Anguru, Nguru	lon			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=lon	Malawi															1																											
Embera Chamí	Chamí, Embena, Embera, Emberá, Epena, Emberá-Chamí, Chami, Chamí Emberá, Embena, Embera, Epena, ẽbẽra	cmi			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=cmi	Colombia			100						100						1							Audio recordings (Global Recordings Network): http://globalrecordings.net/en/language/3499																			languages of Colombia: http://www.ethnologue.com/map/CO___	
Emberá, Northern	Atrato, Cholo, Darien, Dariena, Ebera Bedea, Eerã, Empera, Panama Embera, Cholo, Darién, Eberã, Eberã Bed’ea, Embena, Embera, Emperã, Epena, Eperã Pedea, Epérã Pedée, Panama Embera, Pede, Pede Epenã, Sambú, Chocó, Darien, Darien Emberá, Ebera Bedea, Empera	emp			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=emp	Colombia, Panama	27				1		17		17						1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.scriptureearth.emp.pb.apk		New Testament with Old Testament portions (Virtual Storehouse): http://virtualstorehouse.org/embera-nt-with-ot-portions-emp		Bible.com (YouVersion): https://www.bible.com/bible/353/MAT.1	Bibles.org: https://bibles.org/emp-EMPNTPO/Matt/1	Audio recordings (Global Recordings Network): http://globalrecordings.net/en/language/483		 emp.bbl.mybible		https://www.scriptureearth.org/data/emp/video/JESUSFilm-emp.txt															languages of Northern Colombia: http://www.ethnologue.com/map/CO_n ## languages of Panama: http://www.ethnologue.com/map/PA	
Emberá-Catío	Catio, Embena, Eyabida, Katio, Catío, Epera, Ẽbẽrã Bed, Catío Emberá, Embena, Embera, Emberá-Katío, Epena, Epẽrã, Eyabida, Katio, Ẽ́bẽra Katío, ẽbẽrã bed’ea–Katío, Catío, Epera	cto			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=cto	Colombia, Panama	6		6												1			New Testament (Virtual Storehouse): http://virtualstorehouse.org/embera-catio-nt-portions-cto	https://live.bible.is/bible/CTOWBT/mat/1			Audio recordings (Global Recordings Network): http://globalrecordings.net/en/language/2986					https://www.scriptureearth.org/data/cto/video/http://www.youtube.com/watch?v=MbCsdL7w9bE&list=PLoDMmx9LIxpOXbQFQdmPmulVF8V88NVLh														languages of Northern Colombia: http://www.ethnologue.com/map/CO_n ## languages of Panama: http://www.ethnologue.com/map/PA	
Enga	Caga, Tchaga, Tsaga, Kaina, Kandepe, Kapona, Laiagam, Lapalama 1, Lapalama 2, Layapo, Mae, Maramuni, Sari, Sau, Tayato, Yandapo, Mai, Malamuni, Sau Enga, Wabag, Wapi, Tchaga, Tsaga	enq			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=enq	Papua New Guinea	27				1										1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.wycliffe.enq.enga.nt		New Testament (Virtual Storehouse): http://virtualstorehouse.org/enga-nt-enq	https://live.bible.is/bible/ENQPNG/Mar/1			Audio recordings (Global Recordings Network): http://globalrecordings.net/en/langcode/enq	EngaNT.jar	 enq.bbl.mybible		https://www.scriptureearth.org/data/enq/video/JESUSFilm-enq.txt ## https://www.scriptureearth.org/data/enq/video/http://jesusfilmmedia.org/video/2_12200-0-la_busqueda_the_search/enga/la-bsqueda-the-search															languages of Papua New Guinea: http://www.ethnologue.com/map/PG_06 ## languages of Papua New Guinea: http://www.ethnologue.com/map/PG_09	
English	Inglés	eng	"3222		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=eng&ROD_Code=3222	Canada, United Kingdom, United States			100						100						1	Android app - The NET Bible (Google Play Store): https://play.google.com/store/apps/details?id=org.wycliffe.eng.newenglishtranslation.bible	https://www.scriptureearth.org/data/eng/study/eng_NewEnglishTranslation_Bible-5.2.apk: (- New English Translation (NET))	New Living Translation (Tyndale House): http://tyndale.com/20_Bibles/ ## Bibles (Bibles.com - ABS): http://www.bibles.com/ ## Bibles (The Bible League): http://bookstore.bibleleague.org/services2/bookstore/ ## Bibles (Biblica): http://www.biblicadirect.com/?SSAID=288294 ## Bible (ZakBijbelBond): https://www.zakbijbelbond.nl/en/ekegusii-bibles/	New International Version: https://live.bible.is/bible/ENGNIV/mat/1 ## Contemporary English Version: https://live.bible.is/bible/ENGCEV/mat/1 ## English Standard Version: https://live.bible.is/bible/ENGESV/mat/1	Bible.com (YouVersion) - New English Translation: https://www.bible.com/bible/107/MAT.1	Bibles.org - English Standard Version: https://bibles.org/eng-ESV/Matt/1					https://www.scriptureearth.org/data/eng/video/JESUSFilm-eng-03222.txt			https://www.scriptureearth.org/data/eng/video/https://www.youtube.com/watch?v=TWZKprMCFp4				https://www.scriptureearth.org/data/eng/video/Magdalena-eng-03222.txt		https://www.scriptureearth.org/data/eng/video/eng-ScriptureAnim.txt		https://www.jesusfilm.org/watch/jfp-interests-student-resources.html/the-story-of-jesus-for-children/english.html					
Enhlit		leg			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=leg	Paraguay															1																											
Énxet	Enxet, Enxet Sur, Lengua Sur	enx	"01897		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=enx&ROD_Code=01897	Paraguay															1				https://live.bible.is/bible/ENXENX/mat/1	Bible.com (YouVersion): https://www.bible.com/bible/1480/MAT.1																						
Epena	Cholo, Embera, Emberá-Saija, Epená Saija, Saija, Southern Empera, Epera pedee, Basurudó, Embena, Embera, Emberá-Saija, Epená Saija, Epéna Pedée, Saija, Southern Empera, Basurudo, Emberá, Emberá Chami, Emberá del Sur, Epená, Epera Pedede, Siapedie, Southern Embera, Êpera, Epena Saija, Southern Epena	sja			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=sja	Colombia, Ecuador, Panama	27				1		11		11						1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.scriptureearth.sja.pb.apk		New Testament (Virtual Storehouse): http://virtualstorehouse.org/epena-nt-sja ## New Testament with Old Testament portions (Virtual Storehouse): http://virtualstorehouse.org/epena-bible	https://live.bible.is/bible/SJATBL/Mat/1		Bibles.org - Tachi ak'õre pedee (SJANT): https://bibles.org/sja-SJANT/Matt/1	Audio recordings (Global Recordings Network): http://globalrecordings.net/en/program/C22810		 sja.bbl.mybible																		
Erei	Abayongo, Abini, Adim, Agwagwune, Etono, Orum, Abiri, Bayino, Bayono, Dim, Etuno, Ezei, Obini, Odim, Enna, Agwaguna, Akurakura, Gwune, Okurikan	yay			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=yay	Nigeria															1																											
Erzya	Erza-Mordvin, Erzia, Erzya Mordva, Erzya Mordvin, Mordvin, Mordvin-Erzya, Mordvinian, Erzia, Erzya Mordva, Erzya Mordvin, Mordva, Mordvin, Mordvin-Erzya, Mordvinian	myv			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=myv	Armenia, Russia															1				https://live.bible.is/bible/MYVIBT/Mat/1							https://www.scriptureearth.org/data/myv/video/JESUSFilm-myv.txt																
Ese	Managalasi, Afore, Akabafa, Averi, Chimona, Dea, Jimuni, Karira, Mesari, Minjori, Muaturaina, Nami, Numba, Oko, Wakue	mcq			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=mcq	Papua New Guinea	27				1										1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.wycliffe.mcq.ese.managalasi.nt		New Testament (Virtual Storehouse): http://virtualstorehouse.org/ese-managalasi-nt-mcq	https://live.bible.is/bible/MCQSPP/mat/1			Audio recordings (Global Recordings Network): http://globalrecordings.net/en/langcode/mcq	Ese(Managalasi)NT.jar	 mcq.bbl.mybible		https://www.scriptureearth.org/data/mcq/video/JESUSFilm-mcq.txt															languages of Papua New Guinea: http://www.ethnologue.com/map/PG_16	
Ese Ejja	Ese, Ese Eja, Ese Exa, Tiatinagua, Chama, Huarayo, Ese Eja, Ese Exa, Ese’eha, Ese’ejja, Eseejja, Essejja, Huarayo, Tiatinagua, Guarayo, Tambopata-Guarayo	ese			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=ese	Bolivia, Peru	27		100		1				100						1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.wycliffe.ese.ese.ejja.nt		New Testament (Virtual Storehouse): http://virtualstorehouse.org/ese-ejja-nt-ese	https://live.bible.is/bible/ESEE06/mat/1	Bible.com (YouVersion): https://www.bible.com/bible/576/MAT.1	Bibles.org: https://bibles.org/ese-ESENT/Matt/1	Audio recordings (Global Recordings Network): http://globalrecordings.net/en/program/C11760		 ese.bbl.mybible		https://www.scriptureearth.org/data/ese/video/JESUSFilm-ese.txt															languages of Bolivia: http://www.ethnologue.com/map/BO ## languages of Peru: http://www.ethnologue.com/map/PE	
Esperanto	Lingvo Internacia	epo			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=epo	Poland															1			Bible (ZakBijbelBond): https://www.zakbijbelbond.nl/en/esperanto-bibles/		Bible.com (YouVersion): https://www.bible.com/bible/841/MAT.1	Bibles.org: https://bibles.org/epo-ESP/Matt/1																					
Estonian		est			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=est	Estonia															1			Bible (ZakBijbelBond): https://www.zakbijbelbond.nl/en/estonian-bibles/		Bible.com (YouVersion): https://www.bible.com/bible/309/MAT.1																						
Estonian	Estonian, Standard, Mulgi, Tallinn, Tartu, Dorpat, Reval, Eesti, Eesti Keel, Eesti Kirjakeel, Northern Estonian, Southern Estonian	ekk			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=ekk	Estonia, Finland															1																						https://www.jesusfilm.org/watch/jfp-interests-student-resources.html/the-story-of-jesus-for-children/estonian.html					
Ethiopian Sign Language	EthSL	eth			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=eth	Ethiopia															1																											
Etulo	Eturo, Turumawa, Utur	utr			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=utr	Nigeria															1																											
Euskara	Alavan, Eastern Navarrese, Middle Basque, South High Navarrese, Western Basque, Alto Navarro Meridional, Arabar euskalkia, Biscayan, Ekialdeko nafarrera, Gipuzkera, Gipuzkoan, Guipuzcoan, Guipuzcoano, Hegoaldeko goi nafarrera, High Navarrese, Mendebaldeko euskalkia, Roncalese, Upper Navarran, Vizcaino, Basque, Euska, Euskera, Euskerie, Navarrese-Labourtan, Souletin, Bajo Navarro Occidental, Bajo Navarro Oriental, Benaffarera, Eastern Low Navarrese, Labourdin, Lapurdiera, Nafar-lapurtera, Navarro-Labourdin, Souletino, Suberoan, Suletino, Western Low Navarrese, Xiberoera, Zuberera, Zuberoera	eus			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=eus	France, Spain															1			Bible (ZakBijbelBond): https://www.zakbijbelbond.nl/en/basque-bibles/	https://live.bible.is/bible/EUSNLT/Mat/1 ## https://live.bible.is/bible/EUSBSS/mat/1	Bible.com (YouVersion) Elizen Arteko Biblia (Biblia en Euskara, Traducción Interconfesional) (EABD): https://www.bible.com/bible/223/MAT.1 ## Bible.com (YouVersion) - Navarro-Labourdin Basque (BHNT): https://www.bible.com/bible/25/MAT.1 ## Bible.com (YouVersion) - Elizen Arteko Biblia (Biblia en Euskara, Traducción Interconfesional) (EAB): https://www.bible.com/bible/56/MAT.1	Bibles.org - Elizen Arteko Biblia (Biblia en Euskara, Traducción Interconfesional) (EAB): https://bibles.org/eus-EAB/Matt/1					https://www.scriptureearth.org/data/eus/video/JESUSFilm-eus.txt											https://www.jesusfilm.org/watch/jfp-interests-student-resources.html/the-story-of-jesus-for-children/basque.html					
Even	Arman, Indigirka, Kamchatka, Kolyma-Omolon, Lamunkhin, Okhotsk, Ola, Sakkyryr, Tompon, Upper Kolyma, Eben, Ewen, Ilqan, Lamut, Orich	eve			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=eve	Russia															1																											
Evenki	Ewenk, Ewenke, Ewenki, Khamnigan, Owenke, Solon, Solong, Sulong, Suolun, Aoluguya, Chenba’erhu, Haila’er, Huihe, Morigele, Hoy, Mergel, Old Bargu, Olguya, Ewenke, Ewenki, Khamnigan, Owenke, Solon, Solong, Sulong, Suolun, Khamnigan Ewenki, Khamnigan Mongol, Tungus, Tungus Ewenki, Aldan Timpton, Ayan-Maya, Baykit, Cemdalsk, Cis-Baikalia, Ilimpeya, Jeltulak, Kalar, Kur-Urmi, Lower Nepa Tungir, Manegir, Nakanna, Nepa, Podkamennaya Tunguska, Poligus, Sakhalin, Sym, Tokko, Tokmo-Upper Lena, Tommot, Tuguro-Chumikan, Tutoncana, Uchama, Uchur, Vanavara, Yerbogocen, Zeya-Bureya, Avanki, Avankil, Chapogir	evn			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=evn	China, Mongolia, Russia															1																											
Ewage-Notu	Ewage, Notu, Yega, Gona, Okeina, Okena	nou			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=nou	Papua New Guinea	27				1										1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.wycliffe.nou.ewage.notu.nt		New Testament (Virtual Storehouse): http://virtualstorehouse.org/ewage-notu-nt-nou	https://live.bible.is/bible/NOUWBT/Mat/1			Audio recordings (Global Recordings Network): http://globalrecordings.net/en/program/C05671	Ewage-NotuNT.jar	 nou.bbl.mybible																	languages of Papua New Guinea: http://www.ethnologue.com/map/PG_16 ## languages of Papua New Guinea: http://www.ethnologue.com/map/PG_17	
Ewe	Ebwe, Efe, Eibe, Eue, Eve, Gbe, Krepe, Krepi, Popo, Vhe, Anglo, Awuna, Hudu, Kotafoa, Anlo, Éwé, Adan, Agu, Aveno, Be, Gbin, Ho, Kpelen, Togo, Vlin, Vo, Awlan, Ehwe	ewe			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=ewe	Ghana, Togo			100						100						1			Bible (ZakBijbelBond): https://www.zakbijbelbond.nl/en/ewe-bibles/	https://live.bible.is/bible/EWEIBS/Mat/1 ## https://live.bible.is/bible/EWEB11/mat/1	Bible.com (YouVersion) Biblia alo Ŋɔŋlɔ Kɔkɔe La Le Eʋegbe Me 1913 (EW: https://www.bible.com/bible/2259/MAT.1 ## Bible.com (YouVersion) - Biblica Éwé New Testament (BEE): https://www.bible.com/bible/1613/MAT.1		Audio recordings (Global Recordings Network): http://globalrecordings.net/en/langcode/ewe				https://www.scriptureearth.org/data/ewe/video/JESUSFilm-ewe.txt							https://www.scriptureearth.org/data/ewe/video/Magdalena-ewe.txt								Map of Ghana: http://www.ethnologue.com/map/GH ## Map of Togo: http://www.ethnologue.com/map/TG	
Ewondo	Badjia, Bafeuk, Bamvele, Bane, Beti, Enoah, Evouzok, Fong, Mbida-Bani, Mvete, Mvog-Niengue, Omvang, Yabeka, Yabekanga, Yabekolo, Yangafek, Bakja, Bakjo, Mvele, Yebekolo, Yesoum, Yezum, Ewundu, Jaunde, Yaounde, Yaunde	ewo			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=ewo	Cameroon															1				https://live.bible.is/bible/EWOEWO/mat/1	Bible.com (YouVersion) Le Nouveau Testament en Langue Ewondo (EWO): https://www.bible.com/bible/1854/MAT.1																						
Ezaa	Ẹzaa, Eza, Ezza, Eza, Ezza	eza			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=eza	Nigeria			100						100						1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.wycliffe.eza.ezaa.bible			https://live.bible.is/bible/EZAWBT/Mat/1	Bible.com (YouVersion): https://www.bible.com/bible/1600/MAT.1	Bibles.org: https://bibles.org/eza-EZAB/Matt/1			 eza.bbl.mybible		https://www.scriptureearth.org/data/eza/video/JESUSFilm-eza.txt															languages of Nigeria: http://www.ethnologue.com/map/NG_10	
Fa D\'ambu	Fa d’Ambu, Annobonense, Annobonese, Annobonés, Fa d’Ambô	fab			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=fab	Equatorial Guinea															1											https://www.scriptureearth.org/data/fab/video/JESUSFilm-fab.txt																
Faiwol	Angkiyakmin, Faiwolmin, Fegolmin, Wokeimin, Faiwolmin, Wopkeimin, Fegolmin, Wokeimin	fai			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=fai	Papua New Guinea	27				1										1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.wycliffe.fai.faiwol.nt		New Testament (Virtual Storehouse): http://virtualstorehouse.org/faiwol-nt-fai	https://live.bible.is/bible/FAIPNG/Mat/1	Bible.com (YouVersion) - Got weng abem: Alokso abino kalin (FAI): https://www.bible.com/bible/1428/MAT.1 ## Bible.com (YouVersion) - Got Weng Abem (FAINT): https://www.bible.com/bible/923/MAT.1	Bibles.org - Got weng abem: Alokso abino kalin (FAI): https://bibles.org/fai-FAI/Matt/1 ## Bibles.org - Got Weng Abem (FAINT): https://bibles.org/fai-FAINT/Matt/1	Audio recordings (Global Recordings Network): http://globalrecordings.net/en/langcode/fai	FaiwolNT.jar	 fai.bbl.mybible																	languages of Papua New Guinea: http://www.ethnologue.com/map/PG_05 ## languages of Papua New Guinea: http://www.ethnologue.com/map/PG_08	
Fakai	Fer, Jiir, Kag, Koor, Kur, Ror, Us, Zuksun, Er-Gwar, Et-Fer, Et-Jiir, Et-Kag, Et-Maror, Et-Us, Et-Zuksun, Fakanchi, Fere, Gelanchi, Kar, Kelanchi, Kelinci, Kelli-Ni, Kere, Keri-Ni, Kukum, Kulu, Puku, Tudanchi, Wipsi-Ni, Zussun, ut-Ma’in, Fakanci, Fakkanci	gel			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=gel	Nigeria															1																											
Fali South	Bele, Fali-Tinguelin, Kangou, Fali Kangou, Fali du Bele-Fere, Fali-Bele, Kaang, Kangu, Mango, Ndoudja, Ngoutchoumi, Ram, Toro, Fali, South, Fali	fal			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=fal	Cameroon															1																											
Fanakalo	Pidgin Bantu, Basic Zulu, Fanagoloi, Isilololo, Isipiki, Lololo, Piki, Silunguboi, Cikabanga, Chikabanga, Chilapalapa	fng			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=fng	South Africa, Zambia, Zimbabwe															1																											
Fanamaket	Maket, Tangga	bjp			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=bjp	Papua New Guinea															1																											
Fang	Pahouin, Pamue, Pangwe, Make, Ntum, Ogowe, Ntumu, Pamue, Mvae, Ntoumou, Mvan, Mvang, Mvay, Mveny, Okak, Atsi, Meke, Mvai, Nzaman, Makina, Shiwa, Pangwe	fan			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=fan	Cameroon, Congo, Equatorial Guinea, Gabon	27	260	100		1	1			100						1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.scriptureearth.fan.fang	https://www.scriptureearth.org/data/fan/study/fan_Fang_Biblia-4.7.apk	New Testament (Virtual Storehouse): http://virtualstorehouse.org/fang-t-fan-909	https://live.bible.is/bible/FANACTB/mat/1			Audio recordings (Global Recordings Network): http://globalrecordings.net/en/langcode/fan		 fan.bbl.mybible		https://www.scriptureearth.org/data/fan/video/JESUSFilm-fan.txt			https://www.scriptureearth.org/data/fan/video/ActsVideo-fan.txt												languages of Congo: http://www.ethnologue.com/map/CG ## languages of Equatorial Guinea, Gabon and São Tomé e Príncipe: http://www.ethnologue.com/map/GQGAST ## languages of Southern Cameroon: http://www.ethnologue.com/map/CM_s ## languages of Central Cameroon: http://www.ethnologue.com/map/CM_c	
Faroese	Suthuroy, Faeroese, Føroyskt	fao			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=fao	Denmark															1																						https://www.jesusfilm.org/watch/jfp-interests-student-resources.html/the-story-of-jesus-for-children/faroese.html					
Farsi, Western		pes			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=pes	Iran, Iraq, Oman, Qatar, Tajikistan, United Arab Emirates			100						100						1			Bible (ZakBijbelBond): https://www.zakbijbelbond.nl/en/farsi-bibles/	https://live.bible.is/bible/PESTPV/Mat/1 ## https://live.bible.is/bible/PESNMV/mat/1	Bible.com (YouVersion) - هزارۀ نو (NMV): https://www.bible.com/bible/118/MAT.1 ## Bible.com (YouVersion) - Persian Old Version (POV-FAS): https://www.bible.com/bible/136/MAT.1 ## Bible.com (YouVersion) - کتاب مقدس، ترجمه تفسیری (FCB): https://www.bible.com/bible/1619/MAT.1 ## Bible.com (YouVersion) -  مژده برای عصر جدید (TPV): https://www.bible.com/bible/181/MAT.1						https://www.scriptureearth.org/data/pes/video/JESUSFilm-pes.txt							https://www.scriptureearth.org/data/pes/video/Magdalena-pes.txt				https://www.jesusfilm.org/watch/jfp-interests-student-resources.html/the-story-of-jesus-for-children/farsi-western.html					
Fasu	Namome, Kaibu, Some, Kaipu, Namumi, Namuni	faa			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=faa	Papua New Guinea	27				1										1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.wycliffe.faa.fasu.nt		New Testament (Virtual Storehouse): http://virtualstorehouse.org/fasu-nt-faa	https://live.bible.is/bible/FAAWBT/Mat/1	Bible.com (YouVersion): https://www.bible.com/bible/956/MAT.1	Bibles.org: https://bibles.org/faa-FAANT/Matt/1	Audio recordings (Global Recordings Network): http://globalrecordings.net/en/language/475	FasuNT.jar	 faa.bbl.mybible																	languages of Papua New Guinea: http://www.ethnologue.com/map/PG_09 ## languages of Papua New Guinea: http://www.ethnologue.com/map/PG_14	
Fataleka		far			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=far	Solomon Islands															1					Bible.com (YouVersion) Farongoe Lea Ana Fataleka (FAR): https://www.bible.com/bible/1902/MAT.1																						
Fernando Po Creole English	Pichi, Pidgin, Equatorial Guinean Pidgin, Criollo, Fernandino, Fernando Po Krio, Pichinglis, Pidgin de Guinea Ecuatorial, Pidginglis	fpe			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=fpe	Equatorial Guinea															1																											
Fiji-Hindi	Labasa, Hindi, Fiji, Fiji Baat, Fiji Hindustani	hif			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=hif	Fiji															1			Bible (ZakBijbelBond): https://www.zakbijbelbond.nl/en/fijian-bibles/	https://live.bible.is/bible/HIFBSP/Mat/1							https://www.scriptureearth.org/data/hif/video/JESUSFilm-hif.txt											https://www.jesusfilm.org/watch/jfp-interests-student-resources.html/the-story-of-jesus-for-children/fiji-hindi.html					
Fijian	Bau, Central Vanua Levu, Kadavu, Northeast Vanua Levu, Northeast Viti Levu, Southeast Vanua Levu, Southeast Viti Levu, West Vanua Levu, Baaravi, Bauan, Baumaa, Bua, Dogotuki Saqani, Korolau, Labasa, Lovoni, Lutu, Mbau, Nabalebale, Nabukelevu, Naimasimasi, Namena, Nandrau, Navakasiga, Navatu-B, Navatu-C, Naweni, Ono, Savusavu, Seaqaaqaa, Soolevu, Tavuki, Tokaimalo, Tunuloa, Waidina, Boumaa Fijian, Eastern Fijian, Fiji, Na Vosa Vakaviti, Nadroga, Standard Fijian, Vakaviti	fij			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=fij	Fiji															1											https://www.scriptureearth.org/data/fij/video/JESUSFilm-fij.txt											https://www.jesusfilm.org/watch/jfp-interests-student-resources.html/the-story-of-jesus-for-children/fijian.html					
