JohnAnim	John slide Videos in the Melpa language of Papua New Guinea [med]	images
12	Jesus feeds a multitude (John 6:1-15)	JnAnim06.01-15.png	https://www.youtube.com/watch?v=cTXDRLDTlDY&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=12
13	Jesus walks on the water  (John 6:16-21)	JnAnim06.16-22.png	https://www.youtube.com/watch?v=t3LjO3VE3KU&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=13
14	The Bread of Life (John 6:22-71)	JnAnim06.22-71.png	https://www.youtube.com/watch?v=A-pRGRf1vHc&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=14
15	Jewish leaders want to kill Jesus (John 7:1-24)	JnAnim07.01-24.png	https://www.youtube.com/watch?v=rMSAf7uBous&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=15
16	Jewish leaders try to arrest Jesus (John 7:25-53)	JnAnim07.25-53.png	https://www.youtube.com/watch?v=xIozNhvL83A&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=16
17	Jesus forgives a condemned woman (John 8:1-11)	JnAnim08.02-11.png	https://www.youtube.com/watch?v=o-Jb9qAHb9Y&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=17
18	Jesus is the light of the world (John 8:12-30)	JnAnim08.12-30.png	https://www.youtube.com/watch?v=GvJsbjorArE&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=18
19	Jesus confronts false disciples (John 8:31-59)	JnAnim08.31-59.png	https://www.youtube.com/watch?v=Lqs6mlWWeTs&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=19
20	Jesus heals a blind man (John 9:1-41)	JnAnim09.01-41.png	https://www.youtube.com/watch?v=qxG-8tAetSM&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=20
21	Jesus the Good Shepherd (John 10:1-21)	JnAnim10.01-21.png	https://www.youtube.com/watch?v=C_4kZsdYF4g&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=21
22	Jesus accused of blasphemy (John 10:22-42)	JnAnim10.22-42.png	https://www.youtube.com/watch?v=5TlNRwflAoE&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=22
23	Jesus raises Lazarus (John 11:1-57)	JnAnim11.01-57.png	https://www.youtube.com/watch?v=VGlKsTdyK8o&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=23
24	Mary anoints Jesus (John 12:1-11)	JnAnim12.01-11.png	https://www.youtube.com/watch?v=UQ9BuDzntjU&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=24
25	Triumphal entry (John 12:12-19)	JnAnim12.12-19.png	https://www.youtube.com/watch?v=81tbKz7Dohk&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=25
26	Jesus foretells his death (John 12:20-36)	JnAnim12.20-36.png	https://www.youtube.com/watch?v=e_AMWeXNI80&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=26
27	Believers and unbelievers (John 12:37-50)	JnAnim12.37-50.png	https://www.youtube.com/watch?v=4BsOnKif5yQ&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=27
28	Jesus washes disciples feet (John 13:1-17)	JnAnim13.01-17.png	https://www.youtube.com/watch?v=0SrFtvQNs-M&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=28
29	Jesus predicts betrayal (John 13:18-38)	JnAnim13.18-38.png	https://www.youtube.com/watch?v=j18ApB8fNKc&list=PLoDMmx9LIxpOESFmJE7q_bQcX8OklCyck&index=29
