JesusFilm	De JEZUS Film — Burmese Musselmani [mya]	images
45	Petrus verloochent Jezus	JF45.png	http://www.jesusfilm.org/watch/jesus.html/peter-disowns-jesus/burmese-musselmani.html
46	Jezus wordt bespot en ondervraagd	JF46.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-mocked-and-questioned/burmese-musselmani.html
47	Jezus wordt voor Pilatus gebracht	JF47.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-pilate/burmese-musselmani.html
48	Jezus wordt voor Herodes gebracht	JF48.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-herod/burmese-musselmani.html
49	Jezus veroordeeld	JF49.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-sentenced/burmese-musselmani.html
50	Jezus draagt zijn kruis	JF50.png	http://www.jesusfilm.org/watch/jesus.html/jesus-carries-his-cross/burmese-musselmani.html
51	Jezus wordt gekruisigd	JF51.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-crucified/burmese-musselmani.html
52	Soldaten werpen lot over kleed van Jezus	JF52.png	http://www.jesusfilm.org/watch/jesus.html/soldiers-gamble-for-jesus-clothes/burmese-musselmani.html
53	Teken op het kruis	JF53.png	http://www.jesusfilm.org/watch/jesus.html/sign-on-the-cross/burmese-musselmani.html
54	Gekruisigde rovers	JF54.png	http://www.jesusfilm.org/watch/jesus.html/crucified-convicts/burmese-musselmani.html
55	Dood van Jezus	JF55.png	http://www.jesusfilm.org/watch/jesus.html/death-of-jesus/burmese-musselmani.html
56	Begrafenis van Jezus	JF56.png	http://www.jesusfilm.org/watch/jesus.html/burial-of-jesus/burmese-musselmani.html
57	Engelen bij het graf	JF57.png	http://www.jesusfilm.org/watch/jesus.html/angels-at-the-tomb/burmese-musselmani.html
58	Het graf is leeg	JF58.png	http://www.jesusfilm.org/watch/jesus.html/the-tomb-is-empty/burmese-musselmani.html
59	Opgestane Jezus verschijnt	JF59.png	http://www.jesusfilm.org/watch/jesus.html/resurrected-jesus-appears/burmese-musselmani.html
60	Grote opdracht en hemelvaart	JF60.png	http://www.jesusfilm.org/watch/jesus.html/great-commission-and-ascension/burmese-musselmani.html
61	Uitnodiging om Jesus persoonlijk te leren kennen	JF61.png	http://www.jesusfilm.org/watch/jesus.html/invitation-to-know-jesus-personally/burmese-musselmani.html
