JesusFilm	O Filme JESUS — Burmese Musselmani [mya]	images
26	Jesus ensina sobre oração e fé	JF26.png	http://www.jesusfilm.org/watch/jesus.html/teaching-about-prayer-and-faith/burmese-musselmani.html
27	Ai dos que levam os outros a pecar	JF27.png	http://www.jesusfilm.org/watch/jesus.html/woe-to-those-who-cause-others-to-sin/burmese-musselmani.html
28	O reino de Deus é como um grão de mostarda	JF28.png	http://www.jesusfilm.org/watch/jesus.html/the-kingdom-of-god-as-a-mustard-seed/burmese-musselmani.html
29	Jesus entre os pecadores	JF29.png	http://www.jesusfilm.org/watch/jesus.html/jesus-spends-time-with-sinners/burmese-musselmani.html
30	Jesus cura no sábado	JF30.png	http://www.jesusfilm.org/watch/jesus.html/healing-on-the-sabbath/burmese-musselmani.html
31	A parábola do bom samaritano	JF31.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-good-samaritan/burmese-musselmani.html
32	Jesus cura Bartimeu	JF32.png	http://www.jesusfilm.org/watch/jesus.html/healing-of-bartimaeus/burmese-musselmani.html
33	Jesus e Zaqueu	JF33.png	http://www.jesusfilm.org/watch/jesus.html/jesus-and-zaccheus/burmese-musselmani.html
34	Jesus fala sobre sua morte e ressurreição	JF34.png	http://www.jesusfilm.org/watch/jesus.html/jesus-predicts-his-death-and-resurrection/burmese-musselmani.html
35	A entrada triunfal de Jesus	JF35.png	http://www.jesusfilm.org/watch/jesus.html/jesus-triumphal-entry/burmese-musselmani.html
36	Jesus chora por Jerusalém	JF36.png	http://www.jesusfilm.org/watch/jesus.html/jesus-weeps-over-jerusalem/burmese-musselmani.html
37	Jesus expulsa os vendedores do Templo	JF37.png	http://www.jesusfilm.org/watch/jesus.html/jesus-drives-out-money-changers/burmese-musselmani.html
38	A oferta da viúva	JF38.png	http://www.jesusfilm.org/watch/jesus.html/widow-offering/burmese-musselmani.html
39	Anás questiona a autoridade de Jesus	JF39.png	http://www.jesusfilm.org/watch/jesus.html/annas-questions-jesus-authority/burmese-musselmani.html
40	A parábola da vinha e dos obreiros	JF40.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-vineyard-and-tenants/burmese-musselmani.html
41	Jesus fala sobre pagar impostos a César	JF41.png	http://www.jesusfilm.org/watch/jesus.html/paying-taxes-to-caesar/burmese-musselmani.html
42	A última ceia	JF42.png	http://www.jesusfilm.org/watch/jesus.html/the-last-supper/burmese-musselmani.html
43	Ensinamentos durante a ceia da Páscoa	JF43.png	http://www.jesusfilm.org/watch/jesus.html/upper-room-teaching/burmese-musselmani.html
44	Jesus é traído e preso	JF44.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-betrayed-and-arrested/burmese-musselmani.html
45	Pedro nega Jesus	JF45.png	http://www.jesusfilm.org/watch/jesus.html/peter-disowns-jesus/burmese-musselmani.html
46	Jesus é ridicularizado e interrogado	JF46.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-mocked-and-questioned/burmese-musselmani.html
47	Jesus é levado perante Pilatos	JF47.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-pilate/burmese-musselmani.html
48	Jesus é levado até Herodes	JF48.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-herod/burmese-musselmani.html
49	Jesus é condenado	JF49.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-sentenced/burmese-musselmani.html
50	Jesus carrega sua cruz	JF50.png	http://www.jesusfilm.org/watch/jesus.html/jesus-carries-his-cross/burmese-musselmani.html
51	Jesus é crucificado	JF51.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-crucified/burmese-musselmani.html
52	Os soldados lançam sortes sobre as vestes de Jesus	JF52.png	http://www.jesusfilm.org/watch/jesus.html/soldiers-gamble-for-jesus-clothes/burmese-musselmani.html
53	A placa na cruz	JF53.png	http://www.jesusfilm.org/watch/jesus.html/sign-on-the-cross/burmese-musselmani.html
54	Os condenados crucificados	JF54.png	http://www.jesusfilm.org/watch/jesus.html/crucified-convicts/burmese-musselmani.html
55	A morte de Jesus	JF55.png	http://www.jesusfilm.org/watch/jesus.html/death-of-jesus/burmese-musselmani.html
56	Jesus é sepultado	JF56.png	http://www.jesusfilm.org/watch/jesus.html/burial-of-jesus/burmese-musselmani.html
57	Os anjos no túmulo	JF57.png	http://www.jesusfilm.org/watch/jesus.html/angels-at-the-tomb/burmese-musselmani.html
58	O túmulo está vazio	JF58.png	http://www.jesusfilm.org/watch/jesus.html/the-tomb-is-empty/burmese-musselmani.html
59	Jesus, o Ressurreto, aparece	JF59.png	http://www.jesusfilm.org/watch/jesus.html/resurrected-jesus-appears/burmese-musselmani.html
60	A grande comissão e a ascensão	JF60.png	http://www.jesusfilm.org/watch/jesus.html/great-commission-and-ascension/burmese-musselmani.html
61	Convite para conhecer Jesus pessoalmente	JF61.png	http://www.jesusfilm.org/watch/jesus.html/invitation-to-know-jesus-personally/burmese-musselmani.html
