JesusFilm	The JESUS Film — Burmese, Standard [mya]	images
49	Jesus Is Sentenced	JF49.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-sentenced/burmese-standard.html
50	Jesus Carries His Cross	JF50.png	http://www.jesusfilm.org/watch/jesus.html/jesus-carries-his-cross/burmese-standard.html
51	Jesus Is Crucified	JF51.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-crucified/burmese-standard.html
52	Soldiers Gamble For Jesus’ Clothes	JF52.png	http://www.jesusfilm.org/watch/jesus.html/soldiers-gamble-for-jesus-clothes/burmese-standard.html
53	Sign on the Cross	JF53.png	http://www.jesusfilm.org/watch/jesus.html/sign-on-the-cross/burmese-standard.html
54	Crucified Convicts	JF54.png	http://www.jesusfilm.org/watch/jesus.html/crucified-convicts/burmese-standard.html
55	Death of Jesus	JF55.png	http://www.jesusfilm.org/watch/jesus.html/death-of-jesus/burmese-standard.html
56	Burial of Jesus	JF56.png	http://www.jesusfilm.org/watch/jesus.html/burial-of-jesus/burmese-standard.html
57	Angels at the Tomb	JF57.png	http://www.jesusfilm.org/watch/jesus.html/angels-at-the-tomb/burmese-standard.html
58	The Tomb Is Empty	JF58.png	http://www.jesusfilm.org/watch/jesus.html/the-tomb-is-empty/burmese-standard.html
59	Resurrected Jesus Appears	JF59.png	http://www.jesusfilm.org/watch/jesus.html/resurrected-jesus-appears/burmese-standard.html
60	Great Commission and Ascension	JF60.png	http://www.jesusfilm.org/watch/jesus.html/great-commission-and-ascension/burmese-standard.html
61	Invitation To Know Jesus Personally	JF61.png	http://www.jesusfilm.org/watch/jesus.html/invitation-to-know-jesus-personally/burmese-standard.html
