JesusFilm	Le film Jésus — Burmese Musselmani [mya]	images
40	La parabole des méchants vignerons	JF40.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-vineyard-and-tenants/burmese-musselmani.html
41	L'impôt payé à l'empereur	JF41.png	http://www.jesusfilm.org/watch/jesus.html/paying-taxes-to-caesar/burmese-musselmani.html
42	La sainte cène	JF42.png	http://www.jesusfilm.org/watch/jesus.html/the-last-supper/burmese-musselmani.html
43	Enseignement de Jésus dans la chambre haute	JF43.png	http://www.jesusfilm.org/watch/jesus.html/upper-room-teaching/burmese-musselmani.html
44	Jésus est trahi et arrêté	JF44.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-betrayed-and-arrested/burmese-musselmani.html
45	Pierre renie Jésus	JF45.png	http://www.jesusfilm.org/watch/jesus.html/peter-disowns-jesus/burmese-musselmani.html
46	Jésus insulté et interrogé	JF46.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-mocked-and-questioned/burmese-musselmani.html
47	Jésus est amené devant Pilate	JF47.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-pilate/burmese-musselmani.html
48	Jésus est amené devant Hérode	JF48.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-herod/burmese-musselmani.html
49	Jésus est condamné à mort	JF49.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-sentenced/burmese-musselmani.html
50	Jésus porte sa croix	JF50.png	http://www.jesusfilm.org/watch/jesus.html/jesus-carries-his-cross/burmese-musselmani.html
51	Jésus est cloué sur la croix	JF51.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-crucified/burmese-musselmani.html
52	Les soldats se partagent les vêtements de Jésus en tirant au sort	JF52.png	http://www.jesusfilm.org/watch/jesus.html/soldiers-gamble-for-jesus-clothes/burmese-musselmani.html
53	L'écriteau sur la croix	JF53.png	http://www.jesusfilm.org/watch/jesus.html/sign-on-the-cross/burmese-musselmani.html
54	Deux malfaiteurs crucifiés avec Jésus	JF54.png	http://www.jesusfilm.org/watch/jesus.html/crucified-convicts/burmese-musselmani.html
55	La mort de Jésus	JF55.png	http://www.jesusfilm.org/watch/jesus.html/death-of-jesus/burmese-musselmani.html
56	Jésus est mis dans un tombeau	JF56.png	http://www.jesusfilm.org/watch/jesus.html/burial-of-jesus/burmese-musselmani.html
57	Les anges au tombeau	JF57.png	http://www.jesusfilm.org/watch/jesus.html/angels-at-the-tomb/burmese-musselmani.html
58	Le tombeau vide	JF58.png	http://www.jesusfilm.org/watch/jesus.html/the-tomb-is-empty/burmese-musselmani.html
59	La résurrection de Jésus	JF59.png	http://www.jesusfilm.org/watch/jesus.html/resurrected-jesus-appears/burmese-musselmani.html
60	Mission confiée aux disciples et ascension	JF60.png	http://www.jesusfilm.org/watch/jesus.html/great-commission-and-ascension/burmese-musselmani.html
61	Invitation à connaître Jésus personnellement	JF61.png	http://www.jesusfilm.org/watch/jesus.html/invitation-to-know-jesus-personally/burmese-musselmani.html
