JesusFilm	De JEZUS Film — Burmese, Standard [mya]	images
0	De JEZUS Film	JF00.png	http://www.jesusfilm.org/watch/jesus.html/burmese-standard.html
1	Het begin	JF01.png	http://www.jesusfilm.org/watch/jesus.html/the-beginning/burmese-standard.html
2	Geboorte van Jezus	JF02.png	http://www.jesusfilm.org/watch/jesus.html/birth-of-jesus/burmese-standard.html
3	Kinderjaren van Jezus	JF03.png	http://www.jesusfilm.org/watch/jesus.html/childhood-of-jesus/burmese-standard.html
4	Doop van Jezus door Johannes	JF04.png	http://www.jesusfilm.org/watch/jesus.html/baptism-of-jesus-by-john/burmese-standard.html
5	Jezus verzocht in de woestijn	JF05.png	http://www.jesusfilm.org/watch/jesus.html/the-devil-tempts-jesus/burmese-standard.html
6	Jezus verkondigt de vervulling van Schriftwoord	JF06.png	http://www.jesusfilm.org/watch/jesus.html/jesus-proclaims-fulfillment-of-the-scriptures/burmese-standard.html
7	Gelijkenis van de Farizeeër en Tollenaar	JF07.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-pharisee-and-tax-collector/burmese-standard.html
8	Wonderbaarlijke visvangst	JF08.png	http://www.jesusfilm.org/watch/jesus.html/miraculous-catch-of-fish/burmese-standard.html
9	Dochter van Jaïrus weer tot leven gebracht	JF09.png	http://www.jesusfilm.org/watch/jesus.html/jairus-daughter-brought-back-to-life/burmese-standard.html
10	Discipelen worden gekozen	JF10.png	http://www.jesusfilm.org/watch/jesus.html/disciples-chosen/burmese-standard.html
11	Zaligsprekingen	JF11.png	http://www.jesusfilm.org/watch/jesus.html/beatitudes/burmese-standard.html
12	Bergrede	JF12.png	http://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/burmese-standard.html
13	Gezegend zijn zij die horen en gehoorzamen	JF13.png	http://www.jesusfilm.org/watch/jesus.html/blessed-are-those-who-hear-and-obey/burmese-standard.html
14	Overspelige vrouw vergeven	JF14.png	http://www.jesusfilm.org/watch/jesus.html/sinful-woman-forgiven/burmese-standard.html
15	Vrouwelijke discipelen	JF15.png	http://www.jesusfilm.org/watch/jesus.html/women-disciples/burmese-standard.html
16	Johannes de Doper in de gevangenis	JF16.png	http://www.jesusfilm.org/watch/jesus.html/john-the-baptist-in-prison/burmese-standard.html
17	Gelijkenis van de zaaier en het zaad	JF17.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-sower-and-the-seed/burmese-standard.html
18	Gelijkenis van de lamp	JF18.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-lamp/burmese-standard.html
19	Jezus kalmeert de storm	JF19.png	http://www.jesusfilm.org/watch/jesus.html/jesus-calms-the-storm/burmese-standard.html
20	Genezing van bezetene	JF20.png	http://www.jesusfilm.org/watch/jesus.html/healing-of-the-demoniac/burmese-standard.html
21	De spijziging van de vijfduizend	JF21.png	http://www.jesusfilm.org/watch/jesus.html/jesus-feeds-5000/burmese-standard.html
22	Peter verklaart dat Jezus de Christus is	JF22.png	http://www.jesusfilm.org/watch/jesus.html/peter-declares-jesus-to-be-the-christ/burmese-standard.html
23	De verheerlijking op de berg	JF23.png	http://www.jesusfilm.org/watch/jesus.html/the-transfiguration/burmese-standard.html
24	Jesus geneest jongen van boze geest	JF24.png	http://www.jesusfilm.org/watch/jesus.html/jesus-heals-boy-from-evil-spirit/burmese-standard.html
25	Het Onze Vader	JF25.png	http://www.jesusfilm.org/watch/jesus.html/the-lord-prayer/burmese-standard.html
26	Onderwijs over gebed en geloof	JF26.png	http://www.jesusfilm.org/watch/jesus.html/teaching-about-prayer-and-faith/burmese-standard.html
27	Wee degenen die anderen doen zondigen	JF27.png	http://www.jesusfilm.org/watch/jesus.html/woe-to-those-who-cause-others-to-sin/burmese-standard.html
28	Het Koninkrijk van God is als een mosterdzaadje	JF28.png	http://www.jesusfilm.org/watch/jesus.html/the-kingdom-of-god-as-a-mustard-seed/burmese-standard.html
29	Jezus brengt tijd door met zondaars	JF29.png	http://www.jesusfilm.org/watch/jesus.html/jesus-spends-time-with-sinners/burmese-standard.html
30	Genezing op de sabbat	JF30.png	http://www.jesusfilm.org/watch/jesus.html/healing-on-the-sabbath/burmese-standard.html
