JesusFilm	O Filme JESUS — Burmese, Common [mya]	images
0	O Filme JESUS	JF00.png	http://www.jesusfilm.org/watch/jesus.html/burmese-common.html
1	O princípio	JF01.png	http://www.jesusfilm.org/watch/jesus.html/the-beginning/burmese-common.html
2	O nascimento de Jesus	JF02.png	http://www.jesusfilm.org/watch/jesus.html/birth-of-jesus/burmese-common.html
3	A infância de Jesus	JF03.png	http://www.jesusfilm.org/watch/jesus.html/childhood-of-jesus/burmese-common.html
4	O batismo de Jesus	JF04.png	http://www.jesusfilm.org/watch/jesus.html/baptism-of-jesus-by-john/burmese-common.html
5	Satanás tenta Jesus	JF05.png	http://www.jesusfilm.org/watch/jesus.html/the-devil-tempts-jesus/burmese-common.html
6	Jesus declara que as Escrituras foram cumpridas	JF06.png	http://www.jesusfilm.org/watch/jesus.html/jesus-proclaims-fulfillment-of-the-scriptures/burmese-common.html
7	A parábola do fariseu e do coletor de impostos	JF07.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-pharisee-and-tax-collector/burmese-common.html
8	A pesca milagrosa	JF08.png	http://www.jesusfilm.org/watch/jesus.html/miraculous-catch-of-fish/burmese-common.html
9	A filha de Jairo volta à vida	JF09.png	http://www.jesusfilm.org/watch/jesus.html/jairus-daughter-brought-back-to-life/burmese-common.html
10	A escolha dos discípulos	JF10.png	http://www.jesusfilm.org/watch/jesus.html/disciples-chosen/burmese-common.html
11	As bem-aventuranças	JF11.png	http://www.jesusfilm.org/watch/jesus.html/beatitudes/burmese-common.html
12	O sermão do monte	JF12.png	http://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/burmese-common.html
13	Bem aventurados os que ouvem e obedecem	JF13.png	http://www.jesusfilm.org/watch/jesus.html/blessed-are-those-who-hear-and-obey/burmese-common.html
14	Uma pecadora é perdoada	JF14.png	http://www.jesusfilm.org/watch/jesus.html/sinful-woman-forgiven/burmese-common.html
15	As mulheres que seguiam Jesus	JF15.png	http://www.jesusfilm.org/watch/jesus.html/women-disciples/burmese-common.html
16	João Batista na prisão	JF16.png	http://www.jesusfilm.org/watch/jesus.html/john-the-baptist-in-prison/burmese-common.html
17	A parábola do semeador	JF17.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-sower-and-the-seed/burmese-common.html
18	A parábola da lâmpada	JF18.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-lamp/burmese-common.html
19	Jesus acalma a tempestade	JF19.png	http://www.jesusfilm.org/watch/jesus.html/jesus-calms-the-storm/burmese-common.html
20	A cura de um endemoninhado	JF20.png	http://www.jesusfilm.org/watch/jesus.html/healing-of-the-demoniac/burmese-common.html
21	Jesus alimenta os 5000	JF21.png	http://www.jesusfilm.org/watch/jesus.html/jesus-feeds-5000/burmese-common.html
22	Pedro diz que Jesus é o Cristo	JF22.png	http://www.jesusfilm.org/watch/jesus.html/peter-declares-jesus-to-be-the-christ/burmese-common.html
23	A transfiguração	JF23.png	http://www.jesusfilm.org/watch/jesus.html/the-transfiguration/burmese-common.html
24	Jesus cura um endemoninhado	JF24.png	http://www.jesusfilm.org/watch/jesus.html/jesus-heals-boy-from-evil-spirit/burmese-common.html
25	A oração do Pai nosso	JF25.png	http://www.jesusfilm.org/watch/jesus.html/the-lord-prayer/burmese-common.html
26	Jesus ensina sobre oração e fé	JF26.png	http://www.jesusfilm.org/watch/jesus.html/teaching-about-prayer-and-faith/burmese-common.html
27	Ai dos que levam os outros a pecar	JF27.png	http://www.jesusfilm.org/watch/jesus.html/woe-to-those-who-cause-others-to-sin/burmese-common.html
28	O reino de Deus é como um grão de mostarda	JF28.png	http://www.jesusfilm.org/watch/jesus.html/the-kingdom-of-god-as-a-mustard-seed/burmese-common.html
29	Jesus entre os pecadores	JF29.png	http://www.jesusfilm.org/watch/jesus.html/jesus-spends-time-with-sinners/burmese-common.html
30	Jesus cura no sábado	JF30.png	http://www.jesusfilm.org/watch/jesus.html/healing-on-the-sabbath/burmese-common.html
31	A parábola do bom samaritano	JF31.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-good-samaritan/burmese-common.html
32	Jesus cura Bartimeu	JF32.png	http://www.jesusfilm.org/watch/jesus.html/healing-of-bartimaeus/burmese-common.html
33	Jesus e Zaqueu	JF33.png	http://www.jesusfilm.org/watch/jesus.html/jesus-and-zaccheus/burmese-common.html
34	Jesus fala sobre sua morte e ressurreição	JF34.png	http://www.jesusfilm.org/watch/jesus.html/jesus-predicts-his-death-and-resurrection/burmese-common.html
35	A entrada triunfal de Jesus	JF35.png	http://www.jesusfilm.org/watch/jesus.html/jesus-triumphal-entry/burmese-common.html
36	Jesus chora por Jerusalém	JF36.png	http://www.jesusfilm.org/watch/jesus.html/jesus-weeps-over-jerusalem/burmese-common.html
37	Jesus expulsa os vendedores do Templo	JF37.png	http://www.jesusfilm.org/watch/jesus.html/jesus-drives-out-money-changers/burmese-common.html
38	A oferta da viúva	JF38.png	http://www.jesusfilm.org/watch/jesus.html/widow-offering/burmese-common.html
39	Anás questiona a autoridade de Jesus	JF39.png	http://www.jesusfilm.org/watch/jesus.html/annas-questions-jesus-authority/burmese-common.html
40	A parábola da vinha e dos obreiros	JF40.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-vineyard-and-tenants/burmese-common.html
41	Jesus fala sobre pagar impostos a César	JF41.png	http://www.jesusfilm.org/watch/jesus.html/paying-taxes-to-caesar/burmese-common.html
42	A última ceia	JF42.png	http://www.jesusfilm.org/watch/jesus.html/the-last-supper/burmese-common.html
43	Ensinamentos durante a ceia da Páscoa	JF43.png	http://www.jesusfilm.org/watch/jesus.html/upper-room-teaching/burmese-common.html
44	Jesus é traído e preso	JF44.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-betrayed-and-arrested/burmese-common.html
45	Pedro nega Jesus	JF45.png	http://www.jesusfilm.org/watch/jesus.html/peter-disowns-jesus/burmese-common.html
46	Jesus é ridicularizado e interrogado	JF46.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-mocked-and-questioned/burmese-common.html
47	Jesus é levado perante Pilatos	JF47.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-pilate/burmese-common.html
48	Jesus é levado até Herodes	JF48.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-herod/burmese-common.html
49	Jesus é condenado	JF49.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-sentenced/burmese-common.html
50	Jesus carrega sua cruz	JF50.png	http://www.jesusfilm.org/watch/jesus.html/jesus-carries-his-cross/burmese-common.html
51	Jesus é crucificado	JF51.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-crucified/burmese-common.html
52	Os soldados lançam sortes sobre as vestes de Jesus	JF52.png	http://www.jesusfilm.org/watch/jesus.html/soldiers-gamble-for-jesus-clothes/burmese-common.html
53	A placa na cruz	JF53.png	http://www.jesusfilm.org/watch/jesus.html/sign-on-the-cross/burmese-common.html
54	Os condenados crucificados	JF54.png	http://www.jesusfilm.org/watch/jesus.html/crucified-convicts/burmese-common.html
55	A morte de Jesus	JF55.png	http://www.jesusfilm.org/watch/jesus.html/death-of-jesus/burmese-common.html
56	Jesus é sepultado	JF56.png	http://www.jesusfilm.org/watch/jesus.html/burial-of-jesus/burmese-common.html
57	Os anjos no túmulo	JF57.png	http://www.jesusfilm.org/watch/jesus.html/angels-at-the-tomb/burmese-common.html
58	O túmulo está vazio	JF58.png	http://www.jesusfilm.org/watch/jesus.html/the-tomb-is-empty/burmese-common.html
59	Jesus, o Ressurreto, aparece	JF59.png	http://www.jesusfilm.org/watch/jesus.html/resurrected-jesus-appears/burmese-common.html
60	A grande comissão e a ascensão	JF60.png	http://www.jesusfilm.org/watch/jesus.html/great-commission-and-ascension/burmese-common.html
61	Convite para conhecer Jesus pessoalmente	JF61.png	http://www.jesusfilm.org/watch/jesus.html/invitation-to-know-jesus-personally/burmese-common.html
