JesusFilm	The JESUS Film — Burmese, Standard [mya]	images	
30	Heilung am Sabbat	JF30.png	http://www.jesusfilm.org/watch/jesus.html/healing-on-the-sabbath/burmese-standard.html
31	Gleichnis vom barmherzigen Samariter	JF31.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-good-samaritan/burmese-standard.html
32	Heilung von Bartimäus	JF32.png	http://www.jesusfilm.org/watch/jesus.html/healing-of-bartimaeus/burmese-standard.html
33	Jesus und Zachäus	JF33.png	http://www.jesusfilm.org/watch/jesus.html/jesus-and-zaccheus/burmese-standard.html
34	Jesus kündigt seinen Tod und seine Auferstehung an	JF34.png	http://www.jesusfilm.org/watch/jesus.html/jesus-predicts-his-death-and-resurrection/burmese-standard.html
35	Jesus triumphaler Einzug in Jerusalem	JF35.png	http://www.jesusfilm.org/watch/jesus.html/jesus-triumphal-entry/burmese-standard.html
36	Jesus weint um Jerusalem	JF36.png	http://www.jesusfilm.org/watch/jesus.html/jesus-weeps-over-jerusalem/burmese-standard.html
37	Jesus vertreibt die Geldwechseler aus dem Tempel	JF37.png	http://www.jesusfilm.org/watch/jesus.html/jesus-drives-out-money-changers/burmese-standard.html
38	Das Opfer der Witwe	JF38.png	http://www.jesusfilm.org/watch/jesus.html/widow-offering/burmese-standard.html
39	Hannas befragt Jesus	JF39.png	http://www.jesusfilm.org/watch/jesus.html/annas-questions-jesus-authority/burmese-standard.html
40	Gleichnis vom Weinberg und den Pächtern	JF40.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-vineyard-and-tenants/burmese-standard.html
41	Steuern für Cesar	JF41.png	http://www.jesusfilm.org/watch/jesus.html/paying-taxes-to-caesar/burmese-standard.html
42	Das letzte Abendmahl	JF42.png	http://www.jesusfilm.org/watch/jesus.html/the-last-supper/burmese-standard.html
43	Jesus lehrt beim Abendmahl	JF43.png	http://www.jesusfilm.org/watch/jesus.html/upper-room-teaching/burmese-standard.html
44	Verrat und Festnahme von Jesus	JF44.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-betrayed-and-arrested/burmese-standard.html
45	Petrus verleugnet Jesus	JF45.png	http://www.jesusfilm.org/watch/jesus.html/peter-disowns-jesus/burmese-standard.html
46	Jesus wird verspottet	JF46.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-mocked-and-questioned/burmese-standard.html
47	Jesus vor Pilatus	JF47.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-pilate/burmese-standard.html
48	Jesus vor Herodes	JF48.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-herod/burmese-standard.html
49	Jesus wird verurteilt	JF49.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-sentenced/burmese-standard.html
50	Jesus trägt sein Kreuz	JF50.png	http://www.jesusfilm.org/watch/jesus.html/jesus-carries-his-cross/burmese-standard.html
51	Jesus wird gekreuzigt	JF51.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-crucified/burmese-standard.html
52	Die Soldaten teilen Jesus Kleider unter sich auf	JF52.png	http://www.jesusfilm.org/watch/jesus.html/soldiers-gamble-for-jesus-clothes/burmese-standard.html
53	Das Schild am Kreuz	JF53.png	http://www.jesusfilm.org/watch/jesus.html/sign-on-the-cross/burmese-standard.html
54	Gekreuzigte Verbrecher	JF54.png	http://www.jesusfilm.org/watch/jesus.html/crucified-convicts/burmese-standard.html
55	Jesus stirbt	JF55.png	http://www.jesusfilm.org/watch/jesus.html/death-of-jesus/burmese-standard.html
56	Jesus wird begraben	JF56.png	http://www.jesusfilm.org/watch/jesus.html/burial-of-jesus/burmese-standard.html
57	Engel am Grab	JF57.png	http://www.jesusfilm.org/watch/jesus.html/angels-at-the-tomb/burmese-standard.html
58	Das Grab ist leer	JF58.png	http://www.jesusfilm.org/watch/jesus.html/the-tomb-is-empty/burmese-standard.html
59	Der auferstandene Jesus erscheint den Jüngern	JF59.png	http://www.jesusfilm.org/watch/jesus.html/resurrected-jesus-appears/burmese-standard.html
60	Missionsbefehl und Auffahrt in den Himmel	JF60.png	http://www.jesusfilm.org/watch/jesus.html/great-commission-and-ascension/burmese-standard.html
61	Einladung, Jesus persönlich kennenzulernen	JF61.png	http://www.jesusfilm.org/watch/jesus.html/invitation-to-know-jesus-personally/burmese-standard.html
