JesusFilm	La Película JESÚS — Burmese, Standard [mya]	images
31	La parábola del buen samaritano	JF31.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-good-samaritan/burmese-standard.html
32	La sanidad de Bartimeo	JF32.png	http://www.jesusfilm.org/watch/jesus.html/healing-of-bartimaeus/burmese-standard.html
33	Jesús y Zaqueo	JF33.png	http://www.jesusfilm.org/watch/jesus.html/jesus-and-zaccheus/burmese-standard.html
34	Jesús predice su muerte y resurrección	JF34.png	http://www.jesusfilm.org/watch/jesus.html/jesus-predicts-his-death-and-resurrection/burmese-standard.html
35	La entrada triunfal de Jesús	JF35.png	http://www.jesusfilm.org/watch/jesus.html/jesus-triumphal-entry/burmese-standard.html
36	Jesús llora por Jerusalén	JF36.png	http://www.jesusfilm.org/watch/jesus.html/jesus-weeps-over-jerusalem/burmese-standard.html
37	Jesús expulsa a los mercaderes del Templo	JF37.png	http://www.jesusfilm.org/watch/jesus.html/jesus-drives-out-money-changers/burmese-standard.html
38	La ofrenda de la viuda	JF38.png	http://www.jesusfilm.org/watch/jesus.html/widow-offering/burmese-standard.html
39	Anás cuestiona la autoridad de Jesús	JF39.png	http://www.jesusfilm.org/watch/jesus.html/annas-questions-jesus-authority/burmese-standard.html
40	La parábola de la viña y los obreros	JF40.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-vineyard-and-tenants/burmese-standard.html
41	El pago de impuestos a César	JF41.png	http://www.jesusfilm.org/watch/jesus.html/paying-taxes-to-caesar/burmese-standard.html
42	La última cena	JF42.png	http://www.jesusfilm.org/watch/jesus.html/the-last-supper/burmese-standard.html
43	Enseñanzas durante la cena de  la Pascua	JF43.png	http://www.jesusfilm.org/watch/jesus.html/upper-room-teaching/burmese-standard.html
44	Jesús es traicionado y arrestado	JF44.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-betrayed-and-arrested/burmese-standard.html
45	Pedro niega a Jesús	JF45.png	http://www.jesusfilm.org/watch/jesus.html/peter-disowns-jesus/burmese-standard.html
46	Jesús es escarnecido e interrogado	JF46.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-mocked-and-questioned/burmese-standard.html
47	Jesús es llevado ante Pilato	JF47.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-pilate/burmese-standard.html
48	Jesús es llevado ante Herodes	JF48.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-herod/burmese-standard.html
49	Jesús es condenado	JF49.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-sentenced/burmese-standard.html
50	Jesús carga su cruz	JF50.png	http://www.jesusfilm.org/watch/jesus.html/jesus-carries-his-cross/burmese-standard.html
51	Jesús es crucificado	JF51.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-crucified/burmese-standard.html
