JesusFilm	La Película JESÚS — Burmese Musselmani [mya]	images
37	Jesús expulsa a los mercaderes del Templo	JF37.png	http://www.jesusfilm.org/watch/jesus.html/jesus-drives-out-money-changers/burmese-musselmani.html
38	La ofrenda de la viuda	JF38.png	http://www.jesusfilm.org/watch/jesus.html/widow-offering/burmese-musselmani.html
39	Anás cuestiona la autoridad de Jesús	JF39.png	http://www.jesusfilm.org/watch/jesus.html/annas-questions-jesus-authority/burmese-musselmani.html
40	La parábola de la viña y los obreros	JF40.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-vineyard-and-tenants/burmese-musselmani.html
41	El pago de impuestos a César	JF41.png	http://www.jesusfilm.org/watch/jesus.html/paying-taxes-to-caesar/burmese-musselmani.html
42	La última cena	JF42.png	http://www.jesusfilm.org/watch/jesus.html/the-last-supper/burmese-musselmani.html
43	Enseñanzas durante la cena de  la Pascua	JF43.png	http://www.jesusfilm.org/watch/jesus.html/upper-room-teaching/burmese-musselmani.html
44	Jesús es traicionado y arrestado	JF44.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-betrayed-and-arrested/burmese-musselmani.html
45	Pedro niega a Jesús	JF45.png	http://www.jesusfilm.org/watch/jesus.html/peter-disowns-jesus/burmese-musselmani.html
46	Jesús es escarnecido e interrogado	JF46.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-mocked-and-questioned/burmese-musselmani.html
47	Jesús es llevado ante Pilato	JF47.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-pilate/burmese-musselmani.html
48	Jesús es llevado ante Herodes	JF48.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-herod/burmese-musselmani.html
49	Jesús es condenado	JF49.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-sentenced/burmese-musselmani.html
50	Jesús carga su cruz	JF50.png	http://www.jesusfilm.org/watch/jesus.html/jesus-carries-his-cross/burmese-musselmani.html
51	Jesús es crucificado	JF51.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-crucified/burmese-musselmani.html
52	Los soldados apuestan por la ropa de Jesús	JF52.png	http://www.jesusfilm.org/watch/jesus.html/soldiers-gamble-for-jesus-clothes/burmese-musselmani.html
53	El letrero en la cruz	JF53.png	http://www.jesusfilm.org/watch/jesus.html/sign-on-the-cross/burmese-musselmani.html
54	Los condenados son crucificados	JF54.png	http://www.jesusfilm.org/watch/jesus.html/crucified-convicts/burmese-musselmani.html
55	La muerte de Jesús	JF55.png	http://www.jesusfilm.org/watch/jesus.html/death-of-jesus/burmese-musselmani.html
56	Jesús es sepultado	JF56.png	http://www.jesusfilm.org/watch/jesus.html/burial-of-jesus/burmese-musselmani.html
57	Los ángeles en la tumba	JF57.png	http://www.jesusfilm.org/watch/jesus.html/angels-at-the-tomb/burmese-musselmani.html
58	La tumba está vacía	JF58.png	http://www.jesusfilm.org/watch/jesus.html/the-tomb-is-empty/burmese-musselmani.html
59	Jesús resucitado aparece	JF59.png	http://www.jesusfilm.org/watch/jesus.html/resurrected-jesus-appears/burmese-musselmani.html
60	La gran comisión y la ascensión	JF60.png	http://www.jesusfilm.org/watch/jesus.html/great-commission-and-ascension/burmese-musselmani.html
61	Invitación para conocer a Jesús personalmente	JF61.png	http://www.jesusfilm.org/watch/jesus.html/invitation-to-know-jesus-personally/burmese-musselmani.html
