JesusFilm	O Filme JESUS — Burmese, Standard [mya]	images
33	Jesus e Zaqueu	JF33.png	http://www.jesusfilm.org/watch/jesus.html/jesus-and-zaccheus/burmese-standard.html
34	Jesus fala sobre sua morte e ressurreição	JF34.png	http://www.jesusfilm.org/watch/jesus.html/jesus-predicts-his-death-and-resurrection/burmese-standard.html
35	A entrada triunfal de Jesus	JF35.png	http://www.jesusfilm.org/watch/jesus.html/jesus-triumphal-entry/burmese-standard.html
36	Jesus chora por Jerusalém	JF36.png	http://www.jesusfilm.org/watch/jesus.html/jesus-weeps-over-jerusalem/burmese-standard.html
37	Jesus expulsa os vendedores do Templo	JF37.png	http://www.jesusfilm.org/watch/jesus.html/jesus-drives-out-money-changers/burmese-standard.html
38	A oferta da viúva	JF38.png	http://www.jesusfilm.org/watch/jesus.html/widow-offering/burmese-standard.html
39	Anás questiona a autoridade de Jesus	JF39.png	http://www.jesusfilm.org/watch/jesus.html/annas-questions-jesus-authority/burmese-standard.html
40	A parábola da vinha e dos obreiros	JF40.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-vineyard-and-tenants/burmese-standard.html
41	Jesus fala sobre pagar impostos a César	JF41.png	http://www.jesusfilm.org/watch/jesus.html/paying-taxes-to-caesar/burmese-standard.html
42	A última ceia	JF42.png	http://www.jesusfilm.org/watch/jesus.html/the-last-supper/burmese-standard.html
43	Ensinamentos durante a ceia da Páscoa	JF43.png	http://www.jesusfilm.org/watch/jesus.html/upper-room-teaching/burmese-standard.html
44	Jesus é traído e preso	JF44.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-betrayed-and-arrested/burmese-standard.html
45	Pedro nega Jesus	JF45.png	http://www.jesusfilm.org/watch/jesus.html/peter-disowns-jesus/burmese-standard.html
46	Jesus é ridicularizado e interrogado	JF46.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-mocked-and-questioned/burmese-standard.html
47	Jesus é levado perante Pilatos	JF47.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-pilate/burmese-standard.html
48	Jesus é levado até Herodes	JF48.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-herod/burmese-standard.html
49	Jesus é condenado	JF49.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-sentenced/burmese-standard.html
50	Jesus carrega sua cruz	JF50.png	http://www.jesusfilm.org/watch/jesus.html/jesus-carries-his-cross/burmese-standard.html
51	Jesus é crucificado	JF51.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-crucified/burmese-standard.html
52	Os soldados lançam sortes sobre as vestes de Jesus	JF52.png	http://www.jesusfilm.org/watch/jesus.html/soldiers-gamble-for-jesus-clothes/burmese-standard.html
53	A placa na cruz	JF53.png	http://www.jesusfilm.org/watch/jesus.html/sign-on-the-cross/burmese-standard.html
54	Os condenados crucificados	JF54.png	http://www.jesusfilm.org/watch/jesus.html/crucified-convicts/burmese-standard.html
55	A morte de Jesus	JF55.png	http://www.jesusfilm.org/watch/jesus.html/death-of-jesus/burmese-standard.html
56	Jesus é sepultado	JF56.png	http://www.jesusfilm.org/watch/jesus.html/burial-of-jesus/burmese-standard.html
57	Os anjos no túmulo	JF57.png	http://www.jesusfilm.org/watch/jesus.html/angels-at-the-tomb/burmese-standard.html
58	O túmulo está vazio	JF58.png	http://www.jesusfilm.org/watch/jesus.html/the-tomb-is-empty/burmese-standard.html
59	Jesus, o Ressurreto, aparece	JF59.png	http://www.jesusfilm.org/watch/jesus.html/resurrected-jesus-appears/burmese-standard.html
60	A grande comissão e a ascensão	JF60.png	http://www.jesusfilm.org/watch/jesus.html/great-commission-and-ascension/burmese-standard.html
61	Convite para conhecer Jesus pessoalmente	JF61.png	http://www.jesusfilm.org/watch/jesus.html/invitation-to-know-jesus-personally/burmese-standard.html
