JesusFilm	The JESUS Film — Burmese, Common [mya]	images
0	The JESUS Film	JF00.png	http://www.jesusfilm.org/watch/jesus.html/burmese-common.html
1	The Beginning	JF01.png	http://www.jesusfilm.org/watch/jesus.html/the-beginning/burmese-common.html
2	Birth of Jesus	JF02.png	http://www.jesusfilm.org/watch/jesus.html/birth-of-jesus/burmese-common.html
3	Childhood of Jesus	JF03.png	http://www.jesusfilm.org/watch/jesus.html/childhood-of-jesus/burmese-common.html
4	Baptism of Jesus	JF04.png	http://www.jesusfilm.org/watch/jesus.html/baptism-of-jesus-by-john/burmese-common.html
5	The Devil Tempts Jesus	JF05.png	http://www.jesusfilm.org/watch/jesus.html/the-devil-tempts-jesus/burmese-common.html
6	Jesus Proclaims Fulfillment of the Scriptures	JF06.png	http://www.jesusfilm.org/watch/jesus.html/jesus-proclaims-fulfillment-of-the-scriptures/burmese-common.html
7	Parable of the Pharisee and Tax Collector	JF07.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-pharisee-and-tax-collector/burmese-common.html
8	Miraculous Catch of Fish	JF08.png	http://www.jesusfilm.org/watch/jesus.html/miraculous-catch-of-fish/burmese-common.html
9	Jairus’s Daughter Brought Back to Life	JF09.png	http://www.jesusfilm.org/watch/jesus.html/jairus-daughter-brought-back-to-life/burmese-common.html
10	Disciples Chosen	JF10.png	http://www.jesusfilm.org/watch/jesus.html/disciples-chosen/burmese-common.html
11	Beatitudes	JF11.png	http://www.jesusfilm.org/watch/jesus.html/beatitudes/burmese-common.html
12	Sermon on the Mount	JF12.png	http://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/burmese-common.html
13	Blessed are those Who Hear and Obey	JF13.png	http://www.jesusfilm.org/watch/jesus.html/blessed-are-those-who-hear-and-obey/burmese-common.html
14	Sinful Woman Forgiven	JF14.png	http://www.jesusfilm.org/watch/jesus.html/sinful-woman-forgiven/burmese-common.html
15	Women Disciples	JF15.png	http://www.jesusfilm.org/watch/jesus.html/women-disciples/burmese-common.html
16	John the Baptist in Prison	JF16.png	http://www.jesusfilm.org/watch/jesus.html/john-the-baptist-in-prison/burmese-common.html
17	Parable of the Sower and the Seed	JF17.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-sower-and-the-seed/burmese-common.html
18	Parable of the Lamp	JF18.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-lamp/burmese-common.html
19	Jesus Calms the Storm	JF19.png	http://www.jesusfilm.org/watch/jesus.html/jesus-calms-the-storm/burmese-common.html
20	Healing of the Demoniac	JF20.png	http://www.jesusfilm.org/watch/jesus.html/healing-of-the-demoniac/burmese-common.html
21	Jesus Feeds 5,000	JF21.png	http://www.jesusfilm.org/watch/jesus.html/jesus-feeds-5000/burmese-common.html
