JesusFilm	Le film Jésus — Burmese, Common [mya]	images
18	La parabole de la lampe	JF18.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-lamp/burmese-common.html
19	Jésus apaise une tempête	JF19.png	http://www.jesusfilm.org/watch/jesus.html/jesus-calms-the-storm/burmese-common.html
20	Jésus guérit un homme tourmenté par un esprit mauvais	JF20.png	http://www.jesusfilm.org/watch/jesus.html/healing-of-the-demoniac/burmese-common.html
21	Jésus nourrit 5'000 hommes	JF21.png	http://www.jesusfilm.org/watch/jesus.html/jesus-feeds-5000/burmese-common.html
22	Pierre déclare que Jésus est le Sauveur Promis	JF22.png	http://www.jesusfilm.org/watch/jesus.html/peter-declares-jesus-to-be-the-christ/burmese-common.html
23	La transfiguration de Jésus	JF23.png	http://www.jesusfilm.org/watch/jesus.html/the-transfiguration/burmese-common.html
24	Jésus guérit un enfant tourmenté par un esprit mauvais	JF24.png	http://www.jesusfilm.org/watch/jesus.html/jesus-heals-boy-from-evil-spirit/burmese-common.html
25	La prière du Seigneur	JF25.png	http://www.jesusfilm.org/watch/jesus.html/the-lord-prayer/burmese-common.html
26	L'enseignement sur la prière et la foi	JF26.png	http://www.jesusfilm.org/watch/jesus.html/teaching-about-prayer-and-faith/burmese-common.html
27	Malheur à ceux qui entraînent les hommes à pécher	JF27.png	http://www.jesusfilm.org/watch/jesus.html/woe-to-those-who-cause-others-to-sin/burmese-common.html
28	Le royaume de Dieu ressemble à une graine de moutarde	JF28.png	http://www.jesusfilm.org/watch/jesus.html/the-kingdom-of-god-as-a-mustard-seed/burmese-common.html
29	Jésus s'assoit avec les pécheurs	JF29.png	http://www.jesusfilm.org/watch/jesus.html/jesus-spends-time-with-sinners/burmese-common.html
30	Jésus guérit le jour du sabbat	JF30.png	http://www.jesusfilm.org/watch/jesus.html/healing-on-the-sabbath/burmese-common.html
31	La parabole du bon Samaritain	JF31.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-good-samaritan/burmese-common.html
32	Jésus guérit l'aveugle Bartimée	JF32.png	http://www.jesusfilm.org/watch/jesus.html/healing-of-bartimaeus/burmese-common.html
33	Jésus et Zachée	JF33.png	http://www.jesusfilm.org/watch/jesus.html/jesus-and-zaccheus/burmese-common.html
34	Jésus annonce sa mort et sa résurrection	JF34.png	http://www.jesusfilm.org/watch/jesus.html/jesus-predicts-his-death-and-resurrection/burmese-common.html
35	Entrée triomphale de Jésus à Jérusalem	JF35.png	http://www.jesusfilm.org/watch/jesus.html/jesus-triumphal-entry/burmese-common.html
36	Jésus pleure sur Jérusalem	JF36.png	http://www.jesusfilm.org/watch/jesus.html/jesus-weeps-over-jerusalem/burmese-common.html
