JesusFilm	De JEZUS Film — Ellomwe [lon]	images
15	Vrouwelijke discipelen	JF15.png	http://www.jesusfilm.org/watch/jesus.html/women-disciples/ellomwe.html
16	Johannes de Doper in de gevangenis	JF16.png	http://www.jesusfilm.org/watch/jesus.html/john-the-baptist-in-prison/ellomwe.html
17	Gelijkenis van de zaaier en het zaad	JF17.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-sower-and-the-seed/ellomwe.html
18	Gelijkenis van de lamp	JF18.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-lamp/ellomwe.html
19	Jezus kalmeert de storm	JF19.png	http://www.jesusfilm.org/watch/jesus.html/jesus-calms-the-storm/ellomwe.html
20	Genezing van bezetene	JF20.png	http://www.jesusfilm.org/watch/jesus.html/healing-of-the-demoniac/ellomwe.html
21	De spijziging van de vijfduizend	JF21.png	http://www.jesusfilm.org/watch/jesus.html/jesus-feeds-5000/ellomwe.html
22	Peter verklaart dat Jezus de Christus is	JF22.png	http://www.jesusfilm.org/watch/jesus.html/peter-declares-jesus-to-be-the-christ/ellomwe.html
23	De verheerlijking op de berg	JF23.png	http://www.jesusfilm.org/watch/jesus.html/the-transfiguration/ellomwe.html
24	Jesus geneest jongen van boze geest	JF24.png	http://www.jesusfilm.org/watch/jesus.html/jesus-heals-boy-from-evil-spirit/ellomwe.html
25	Het Onze Vader	JF25.png	http://www.jesusfilm.org/watch/jesus.html/the-lord-prayer/ellomwe.html
26	Onderwijs over gebed en geloof	JF26.png	http://www.jesusfilm.org/watch/jesus.html/teaching-about-prayer-and-faith/ellomwe.html
27	Wee degenen die anderen doen zondigen	JF27.png	http://www.jesusfilm.org/watch/jesus.html/woe-to-those-who-cause-others-to-sin/ellomwe.html
28	Het Koninkrijk van God is als een mosterdzaadje	JF28.png	http://www.jesusfilm.org/watch/jesus.html/the-kingdom-of-god-as-a-mustard-seed/ellomwe.html
29	Jezus brengt tijd door met zondaars	JF29.png	http://www.jesusfilm.org/watch/jesus.html/jesus-spends-time-with-sinners/ellomwe.html
30	Genezing op de sabbat	JF30.png	http://www.jesusfilm.org/watch/jesus.html/healing-on-the-sabbath/ellomwe.html
31	Gelijkenis van de barmhartige Samaritaan	JF31.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-good-samaritan/ellomwe.html
32	Genezing van Bartimeüs	JF32.png	http://www.jesusfilm.org/watch/jesus.html/healing-of-bartimaeus/ellomwe.html
33	Jezus en Zacheüs	JF33.png	http://www.jesusfilm.org/watch/jesus.html/jesus-and-zaccheus/ellomwe.html
34	Jezus voorspelt Zijn dood en opstanding	JF34.png	http://www.jesusfilm.org/watch/jesus.html/jesus-predicts-his-death-and-resurrection/ellomwe.html
35	Triomfantelijke intocht van Jezus	JF35.png	http://www.jesusfilm.org/watch/jesus.html/jesus-triumphal-entry/ellomwe.html
36	Jezus huilt over Jeruzalem	JF36.png	http://www.jesusfilm.org/watch/jesus.html/jesus-weeps-over-jerusalem/ellomwe.html
37	Jezus verdrijft de geldwisselaars	JF37.png	http://www.jesusfilm.org/watch/jesus.html/jesus-drives-out-money-changers/ellomwe.html
38	Het penningske van de weduwe	JF38.png	http://www.jesusfilm.org/watch/jesus.html/widow-offering/ellomwe.html
39	Vragen van Annas over de autoriteit van Jezus	JF39.png	http://www.jesusfilm.org/watch/jesus.html/annas-questions-jesus-authority/ellomwe.html
