JohnAnim	Juan - Náhuatl de Guerrero	[mza]	images	
31	Jesus talks about the Holy Spirit (John 14:15-31)	JnAnim14.15-31.png	https://www.youtube.com/watch?v=_r_HEEzPQVc&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=31
32	The Vine and the branches (John 15:1-17)	JnAnim15.01-17.png	https://www.youtube.com/watch?v=zkzX6sMmwqs&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=32
33	Jesus warns about persecution (John 15:18-16:4)	JnAnim15.18-16.4.png	https://www.youtube.com/watch?v=tPPqdomoXhQ&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=33
34	More teaching about the Holy Spirit (John 16:5-33)	JnAnim16.05-33.png	https://www.youtube.com/watch?v=uY1Ia_uk9iQ&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=34
35	Jesus prays for his followers (John 17:1-26)	JnAnim17.01-26.png	https://www.youtube.com/watch?v=Rp33gzCfeCU&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=35
36	Jesus betrayed arrested (John 18:1-14)	JnAnim18.01-14.png	https://www.youtube.com/watch?v=hM4ika9pmzY&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=36
37	Peter denies knowing Jesus and Annas questions Jesus (John 18:15-27)	JnAnim18.15-27.png	https://www.youtube.com/watch?v=f0C03WydoFU&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=37
38	Pilate questions Jesus (John 18:28-40)	JnAnim18.28-40.png	https://www.youtube.com/watch?v=NJq3FtoMpBQ&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=38
39	Jesus sentenced to death (John 19:1-16)	JnAnim19.01-16.png	https://www.youtube.com/watch?v=zTaCyueNX8Q&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=39
40	The crucifixion (John 19:16-37)	JnAnim19.16-37.png	https://www.youtube.com/watch?v=CyPn0rUsI3E&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=40
41	The resurrection (John 19:38-20:18)	JnAnim19.38-20.18.png	https://www.youtube.com/watch?v=rew8CNPayHA&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=41
42	Jesus appears to the disciples (John 20:19-31)	JnAnim20.19-31.png	https://www.youtube.com/watch?v=vyJGRl07KNs&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=42
43	Jesus at the Sea of Galilee (John 21:1-25)	JnAnim21.01-25.png	https://www.youtube.com/watch?v=QxRTNEy4FxQ&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=43
