JesusFilm	De JEZUS Film — Nahuatl, Guerrero Aztec  [ngu]	images
41	Het betalen van belasting aan Caesar	JF41.png	http://www.jesusfilm.org/watch/jesus.html/paying-taxes-to-caesar/nahuatl-guerrero-aztec.html
42	Het laatste avondmaal	JF42.png	http://www.jesusfilm.org/watch/jesus.html/the-last-supper/nahuatl-guerrero-aztec.html
43	Laatste onderwijs aan de discipelen	JF43.png	http://www.jesusfilm.org/watch/jesus.html/upper-room-teaching/nahuatl-guerrero-aztec.html
44	Jezus wordt verraden en opgepakt	JF44.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-betrayed-and-arrested/nahuatl-guerrero-aztec.html
45	Petrus verloochent Jezus	JF45.png	http://www.jesusfilm.org/watch/jesus.html/peter-disowns-jesus/nahuatl-guerrero-aztec.html
46	Jezus wordt bespot en ondervraagd	JF46.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-mocked-and-questioned/nahuatl-guerrero-aztec.html
47	Jezus wordt voor Pilatus gebracht	JF47.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-pilate/nahuatl-guerrero-aztec.html
48	Jezus wordt voor Herodes gebracht	JF48.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-herod/nahuatl-guerrero-aztec.html
49	Jezus veroordeeld	JF49.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-sentenced/nahuatl-guerrero-aztec.html
50	Jezus draagt zijn kruis	JF50.png	http://www.jesusfilm.org/watch/jesus.html/jesus-carries-his-cross/nahuatl-guerrero-aztec.html
51	Jezus wordt gekruisigd	JF51.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-crucified/nahuatl-guerrero-aztec.html
52	Soldaten werpen lot over kleed van Jezus	JF52.png	http://www.jesusfilm.org/watch/jesus.html/soldiers-gamble-for-jesus-clothes/nahuatl-guerrero-aztec.html
53	Teken op het kruis	JF53.png	http://www.jesusfilm.org/watch/jesus.html/sign-on-the-cross/nahuatl-guerrero-aztec.html
54	Gekruisigde rovers	JF54.png	http://www.jesusfilm.org/watch/jesus.html/crucified-convicts/nahuatl-guerrero-aztec.html
55	Dood van Jezus	JF55.png	http://www.jesusfilm.org/watch/jesus.html/death-of-jesus/nahuatl-guerrero-aztec.html
56	Begrafenis van Jezus	JF56.png	http://www.jesusfilm.org/watch/jesus.html/burial-of-jesus/nahuatl-guerrero-aztec.html
57	Engelen bij het graf	JF57.png	http://www.jesusfilm.org/watch/jesus.html/angels-at-the-tomb/nahuatl-guerrero-aztec.html
58	Het graf is leeg	JF58.png	http://www.jesusfilm.org/watch/jesus.html/the-tomb-is-empty/nahuatl-guerrero-aztec.html
59	Opgestane Jezus verschijnt	JF59.png	http://www.jesusfilm.org/watch/jesus.html/resurrected-jesus-appears/nahuatl-guerrero-aztec.html
60	Grote opdracht en hemelvaart	JF60.png	http://www.jesusfilm.org/watch/jesus.html/great-commission-and-ascension/nahuatl-guerrero-aztec.html
61	Uitnodiging om Jesus persoonlijk te leren kennen	JF61.png	http://www.jesusfilm.org/watch/jesus.html/invitation-to-know-jesus-personally/nahuatl-guerrero-aztec.html
