JesusFilm	La Película JESÚS — Nahuatl, Guerrero Aztec  [ngu]	images
43	Enseñanzas durante la cena de  la Pascua	JF43.png	http://www.jesusfilm.org/watch/jesus.html/upper-room-teaching/nahuatl-guerrero-aztec.html
44	Jesús es traicionado y arrestado	JF44.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-betrayed-and-arrested/nahuatl-guerrero-aztec.html
45	Pedro niega a Jesús	JF45.png	http://www.jesusfilm.org/watch/jesus.html/peter-disowns-jesus/nahuatl-guerrero-aztec.html
46	Jesús es escarnecido e interrogado	JF46.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-mocked-and-questioned/nahuatl-guerrero-aztec.html
47	Jesús es llevado ante Pilato	JF47.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-pilate/nahuatl-guerrero-aztec.html
48	Jesús es llevado ante Herodes	JF48.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-herod/nahuatl-guerrero-aztec.html
49	Jesús es condenado	JF49.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-sentenced/nahuatl-guerrero-aztec.html
50	Jesús carga su cruz	JF50.png	http://www.jesusfilm.org/watch/jesus.html/jesus-carries-his-cross/nahuatl-guerrero-aztec.html
51	Jesús es crucificado	JF51.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-crucified/nahuatl-guerrero-aztec.html
52	Los soldados apuestan por la ropa de Jesús	JF52.png	http://www.jesusfilm.org/watch/jesus.html/soldiers-gamble-for-jesus-clothes/nahuatl-guerrero-aztec.html
53	El letrero en la cruz	JF53.png	http://www.jesusfilm.org/watch/jesus.html/sign-on-the-cross/nahuatl-guerrero-aztec.html
54	Los condenados son crucificados	JF54.png	http://www.jesusfilm.org/watch/jesus.html/crucified-convicts/nahuatl-guerrero-aztec.html
55	La muerte de Jesús	JF55.png	http://www.jesusfilm.org/watch/jesus.html/death-of-jesus/nahuatl-guerrero-aztec.html
56	Jesús es sepultado	JF56.png	http://www.jesusfilm.org/watch/jesus.html/burial-of-jesus/nahuatl-guerrero-aztec.html
57	Los ángeles en la tumba	JF57.png	http://www.jesusfilm.org/watch/jesus.html/angels-at-the-tomb/nahuatl-guerrero-aztec.html
58	La tumba está vacía	JF58.png	http://www.jesusfilm.org/watch/jesus.html/the-tomb-is-empty/nahuatl-guerrero-aztec.html
59	Jesús resucitado aparece	JF59.png	http://www.jesusfilm.org/watch/jesus.html/resurrected-jesus-appears/nahuatl-guerrero-aztec.html
60	La gran comisión y la ascensión	JF60.png	http://www.jesusfilm.org/watch/jesus.html/great-commission-and-ascension/nahuatl-guerrero-aztec.html
61	Invitación para conocer a Jesús personalmente	JF61.png	http://www.jesusfilm.org/watch/jesus.html/invitation-to-know-jesus-personally/nahuatl-guerrero-aztec.html
