JesusFilm	Le film Jésus — Nahuatl, Guerrero Aztec  [ngu]	images
16	Jean-Baptiste en prison	JF16.png	http://www.jesusfilm.org/watch/jesus.html/john-the-baptist-in-prison/nahuatl-guerrero-aztec.html
17	La parabole du semeur et de la semence	JF17.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-sower-and-the-seed/nahuatl-guerrero-aztec.html
18	La parabole de la lampe	JF18.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-lamp/nahuatl-guerrero-aztec.html
19	Jésus apaise une tempête	JF19.png	http://www.jesusfilm.org/watch/jesus.html/jesus-calms-the-storm/nahuatl-guerrero-aztec.html
20	Jésus guérit un homme tourmenté par un esprit mauvais	JF20.png	http://www.jesusfilm.org/watch/jesus.html/healing-of-the-demoniac/nahuatl-guerrero-aztec.html
21	Jésus nourrit 5'000 hommes	JF21.png	http://www.jesusfilm.org/watch/jesus.html/jesus-feeds-5000/nahuatl-guerrero-aztec.html
22	Pierre déclare que Jésus est le Sauveur Promis	JF22.png	http://www.jesusfilm.org/watch/jesus.html/peter-declares-jesus-to-be-the-christ/nahuatl-guerrero-aztec.html
23	La transfiguration de Jésus	JF23.png	http://www.jesusfilm.org/watch/jesus.html/the-transfiguration/nahuatl-guerrero-aztec.html
24	Jésus guérit un enfant tourmenté par un esprit mauvais	JF24.png	http://www.jesusfilm.org/watch/jesus.html/jesus-heals-boy-from-evil-spirit/nahuatl-guerrero-aztec.html
25	La prière du Seigneur	JF25.png	http://www.jesusfilm.org/watch/jesus.html/the-lord-prayer/nahuatl-guerrero-aztec.html
26	L'enseignement sur la prière et la foi	JF26.png	http://www.jesusfilm.org/watch/jesus.html/teaching-about-prayer-and-faith/nahuatl-guerrero-aztec.html
27	Malheur à ceux qui entraînent les hommes à pécher	JF27.png	http://www.jesusfilm.org/watch/jesus.html/woe-to-those-who-cause-others-to-sin/nahuatl-guerrero-aztec.html
28	Le royaume de Dieu ressemble à une graine de moutarde	JF28.png	http://www.jesusfilm.org/watch/jesus.html/the-kingdom-of-god-as-a-mustard-seed/nahuatl-guerrero-aztec.html
29	Jésus s'assoit avec les pécheurs	JF29.png	http://www.jesusfilm.org/watch/jesus.html/jesus-spends-time-with-sinners/nahuatl-guerrero-aztec.html
30	Jésus guérit le jour du sabbat	JF30.png	http://www.jesusfilm.org/watch/jesus.html/healing-on-the-sabbath/nahuatl-guerrero-aztec.html
31	La parabole du bon Samaritain	JF31.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-good-samaritan/nahuatl-guerrero-aztec.html
32	Jésus guérit l'aveugle Bartimée	JF32.png	http://www.jesusfilm.org/watch/jesus.html/healing-of-bartimaeus/nahuatl-guerrero-aztec.html
33	Jésus et Zachée	JF33.png	http://www.jesusfilm.org/watch/jesus.html/jesus-and-zaccheus/nahuatl-guerrero-aztec.html
34	Jésus annonce sa mort et sa résurrection	JF34.png	http://www.jesusfilm.org/watch/jesus.html/jesus-predicts-his-death-and-resurrection/nahuatl-guerrero-aztec.html
35	Entrée triomphale de Jésus à Jérusalem	JF35.png	http://www.jesusfilm.org/watch/jesus.html/jesus-triumphal-entry/nahuatl-guerrero-aztec.html
36	Jésus pleure sur Jérusalem	JF36.png	http://www.jesusfilm.org/watch/jesus.html/jesus-weeps-over-jerusalem/nahuatl-guerrero-aztec.html
37	Jésus chasse les marchands du Temple	JF37.png	http://www.jesusfilm.org/watch/jesus.html/jesus-drives-out-money-changers/nahuatl-guerrero-aztec.html
38	Le don offert par une veuve pauvre	JF38.png	http://www.jesusfilm.org/watch/jesus.html/widow-offering/nahuatl-guerrero-aztec.html
39	Hanne remet en question l'autorité de Jésus	JF39.png	http://www.jesusfilm.org/watch/jesus.html/annas-questions-jesus-authority/nahuatl-guerrero-aztec.html
40	La parabole des méchants vignerons	JF40.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-vineyard-and-tenants/nahuatl-guerrero-aztec.html
41	L'impôt payé à l'empereur	JF41.png	http://www.jesusfilm.org/watch/jesus.html/paying-taxes-to-caesar/nahuatl-guerrero-aztec.html
42	La sainte cène	JF42.png	http://www.jesusfilm.org/watch/jesus.html/the-last-supper/nahuatl-guerrero-aztec.html
43	Enseignement de Jésus dans la chambre haute	JF43.png	http://www.jesusfilm.org/watch/jesus.html/upper-room-teaching/nahuatl-guerrero-aztec.html
44	Jésus est trahi et arrêté	JF44.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-betrayed-and-arrested/nahuatl-guerrero-aztec.html
45	Pierre renie Jésus	JF45.png	http://www.jesusfilm.org/watch/jesus.html/peter-disowns-jesus/nahuatl-guerrero-aztec.html
46	Jésus insulté et interrogé	JF46.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-mocked-and-questioned/nahuatl-guerrero-aztec.html
47	Jésus est amené devant Pilate	JF47.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-pilate/nahuatl-guerrero-aztec.html
48	Jésus est amené devant Hérode	JF48.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-herod/nahuatl-guerrero-aztec.html
49	Jésus est condamné à mort	JF49.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-sentenced/nahuatl-guerrero-aztec.html
50	Jésus porte sa croix	JF50.png	http://www.jesusfilm.org/watch/jesus.html/jesus-carries-his-cross/nahuatl-guerrero-aztec.html
51	Jésus est cloué sur la croix	JF51.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-crucified/nahuatl-guerrero-aztec.html
52	Les soldats se partagent les vêtements de Jésus en tirant au sort	JF52.png	http://www.jesusfilm.org/watch/jesus.html/soldiers-gamble-for-jesus-clothes/nahuatl-guerrero-aztec.html
53	L'écriteau sur la croix	JF53.png	http://www.jesusfilm.org/watch/jesus.html/sign-on-the-cross/nahuatl-guerrero-aztec.html
54	Deux malfaiteurs crucifiés avec Jésus	JF54.png	http://www.jesusfilm.org/watch/jesus.html/crucified-convicts/nahuatl-guerrero-aztec.html
55	La mort de Jésus	JF55.png	http://www.jesusfilm.org/watch/jesus.html/death-of-jesus/nahuatl-guerrero-aztec.html
56	Jésus est mis dans un tombeau	JF56.png	http://www.jesusfilm.org/watch/jesus.html/burial-of-jesus/nahuatl-guerrero-aztec.html
57	Les anges au tombeau	JF57.png	http://www.jesusfilm.org/watch/jesus.html/angels-at-the-tomb/nahuatl-guerrero-aztec.html
58	Le tombeau vide	JF58.png	http://www.jesusfilm.org/watch/jesus.html/the-tomb-is-empty/nahuatl-guerrero-aztec.html
59	La résurrection de Jésus	JF59.png	http://www.jesusfilm.org/watch/jesus.html/resurrected-jesus-appears/nahuatl-guerrero-aztec.html
60	Mission confiée aux disciples et ascension	JF60.png	http://www.jesusfilm.org/watch/jesus.html/great-commission-and-ascension/nahuatl-guerrero-aztec.html
61	Invitation à connaître Jésus personnellement	JF61.png	http://www.jesusfilm.org/watch/jesus.html/invitation-to-know-jesus-personally/nahuatl-guerrero-aztec.html
