JesusFilm	The JESUS Film in Adele of Togo and Ghana [ade]	images
42	The Last Supper	JF42.png	http://www.jesusfilm.org/watch/jesus.html/the-last-supper/adele.html
43	Upper Room Teaching	JF43.png	http://www.jesusfilm.org/watch/jesus.html/upper-room-teaching/adele.html
44	Jesus is Betrayed and Arrested	JF44.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-betrayed-and-arrested/adele.html
45	Peter Disowns Jesus	JF45.png	http://www.jesusfilm.org/watch/jesus.html/peter-disowns-jesus/adele.html
46	Jesus is Mocked and Questioned	JF46.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-mocked-and-questioned/adele.html
47	Jesus Is Brought To Pilate	JF47.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-pilate/adele.html
48	Jesus Is Brought to Herod	JF48.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-brought-to-herod/adele.html
49	Jesus Is Sentenced	JF49.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-sentenced/adele.html
50	Jesus Carries His Cross	JF50.png	http://www.jesusfilm.org/watch/jesus.html/jesus-carries-his-cross/adele.html
51	Jesus Is Crucified	JF51.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-crucified/adele.html
52	Soldiers Gamble For Jesus’ Clothes	JF52.png	http://www.jesusfilm.org/watch/jesus.html/soldiers-gamble-for-jesus-clothes/adele.html
53	Sign on the Cross	JF53.png	http://www.jesusfilm.org/watch/jesus.html/sign-on-the-cross/adele.html
54	Crucified Convicts	JF54.png	http://www.jesusfilm.org/watch/jesus.html/crucified-convicts/adele.html
55	Death of Jesus	JF55.png	http://www.jesusfilm.org/watch/jesus.html/death-of-jesus/adele.html
56	Burial of Jesus	JF56.png	http://www.jesusfilm.org/watch/jesus.html/burial-of-jesus/adele.html
57	Angels at the Tomb	JF57.png	http://www.jesusfilm.org/watch/jesus.html/angels-at-the-tomb/adele.html
58	The Tomb Is Empty	JF58.png	http://www.jesusfilm.org/watch/jesus.html/the-tomb-is-empty/adele.html
59	Resurrected Jesus Appears	JF59.png	http://www.jesusfilm.org/watch/jesus.html/resurrected-jesus-appears/adele.html
60	Great Commission and Ascension	JF60.png	http://www.jesusfilm.org/watch/jesus.html/great-commission-and-ascension/adele.html
61	Invitation To Know Jesus Personally	JF61.png	http://www.jesusfilm.org/watch/jesus.html/invitation-to-know-jesus-personally/adele.html
